Iteration,Avg,Max,Min
1,2.141054382637496e-05,2.4450475561749676e-05,2.060538624796522e-05
2,2.196763388206212e-05,2.4450475561749676e-05,2.1399529210357373e-05
3,2.243718484047569e-05,2.4450475561749676e-05,2.1909644625564174e-05
4,2.2829990591645384e-05,2.468587227529685e-05,2.2323920080366113e-05
5,2.3215355137364493e-05,2.499562576549104e-05,2.2688598979013047e-05
6,2.3647787919145174e-05,2.5122472051249842e-05,2.3120318135577546e-05
7,2.4084072483264655e-05,2.6102845210127905e-05,2.3544369364066585e-05
8,2.44855406633525e-05,2.6102845210127905e-05,2.3991746839087353e-05
9,2.4890916351167994e-05,2.6102845210127905e-05,2.442777927058651e-05
10,2.5296624702921682e-05,2.7205702315205268e-05,2.4834231504706088e-05
11,2.5665918857356124e-05,2.7659456768269073e-05,2.5232135647961242e-05
12,2.609328229667603e-05,2.788155913678693e-05,2.5579372793779096e-05
13,2.6573033641324228e-05,2.8519279032626055e-05,2.6052521884118383e-05
14,2.7078487328295387e-05,2.8936859771977546e-05,2.652168147460549e-05
15,2.7597815742816974e-05,2.945334590009425e-05,2.699492495410863e-05
16,2.8030683104102978e-05,2.9551700700375305e-05,2.7495188342040142e-05
17,2.8475701861812343e-05,3.007518796992481e-05,2.790490010045764e-05
18,2.888626228126529e-05,3.012774162448783e-05,2.8451120974166383e-05
19,2.922311028363614e-05,3.037482534475427e-05,2.8847540747151304e-05
20,2.95159566457022e-05,3.087849312953528e-05,2.914941992654346e-05
21,2.9799421744861216e-05,3.088135383855228e-05,2.9417821316153325e-05
22,3.016497496893658e-05,3.1477226226824895e-05,2.972651605231867e-05
23,3.053311317356249e-05,3.169974006213149e-05,3.012229652388698e-05
24,3.0855902850939866e-05,3.194173826939662e-05,3.0460873008620428e-05
25,3.11500141769577e-05,3.275681341719078e-05,3.082994203970897e-05
26,3.144682220692914e-05,3.275681341719078e-05,3.1086794329768716e-05
27,3.175397412201294e-05,3.34817691766833e-05,3.138140965292161e-05
28,3.20527515886265e-05,3.34817691766833e-05,3.1669622498099825e-05
29,3.233875443615593e-05,3.3770093205457245e-05,3.194990255279721e-05
30,3.2622843887590064e-05,3.433830094086945e-05,3.226535024037686e-05
31,3.2964588530027065e-05,3.528332510055748e-05,3.2517152798100995e-05
32,3.33606783983023e-05,3.528332510055748e-05,3.287959492339054e-05
33,3.374095067257249e-05,3.528332510055748e-05,3.329227286346839e-05
34,3.409206965996006e-05,3.5529027215234845e-05,3.3612315552418406e-05
35,3.446348095317454e-05,3.5529027215234845e-05,3.397662408263115e-05
36,3.479317114111764e-05,3.57321517901808e-05,3.436189952580579e-05
37,3.507430243452748e-05,3.5960874568469505e-05,3.4741523068371316e-05
38,3.534350781639221e-05,3.631609529343405e-05,3.500910236661532e-05
39,3.557568111753432e-05,3.666361136571952e-05,3.528332510055748e-05
40,3.578942705678145e-05,3.666361136571952e-05,3.5510102624196586e-05
41,3.6019980242605885e-05,3.7257824143070045e-05,3.576154203769266e-05
42,3.624722873077702e-05,3.7397157816005985e-05,3.596734165377837e-05
43,3.648602954971105e-05,3.761944172748476e-05,3.619516432604604e-05
44,3.6749936190218064e-05,3.77814719661478e-05,3.640202395253176e-05
45,3.701257301946785e-05,3.77814719661478e-05,3.667974911051608e-05
46,3.7261088195989914e-05,3.796939666628697e-05,3.698088088458267e-05
47,3.748421213445957e-05,3.821169277799006e-05,3.719546215361726e-05
48,3.770997005940125e-05,3.8267258533598655e-05,3.744617112900206e-05
49,3.78653965753593e-05,3.8267258533598655e-05,3.7735849056603776e-05
50,3.797815669599948e-05,3.868471953578336e-05,3.780575403576424e-05
51,3.810040754334949e-05,3.868471953578336e-05,3.796939666628697e-05
52,3.822932054298898e-05,3.868471953578336e-05,3.7998252080404305e-05
53,3.836079989662444e-05,3.87086784857165e-05,3.818834491713129e-05
54,3.8507398747880596e-05,3.87086784857165e-05,3.832151753209427e-05
