Iteration,Avg,Max,Min
1,2.118259035284197e-05,2.463903809195289e-05,1.8096599648925967e-05
2,2.1740712542361196e-05,2.5608194622279128e-05,1.9529342837613515e-05
3,2.2234690756549085e-05,2.5608194622279128e-05,1.907668828691339e-05
4,2.2968833716082084e-05,2.725166916473634e-05,1.9691241335853813e-05
5,2.377956066274737e-05,2.725166916473634e-05,2.0628764749566797e-05
6,2.449992539885819e-05,2.746649088112503e-05,2.1319688732544504e-05
7,2.5176173085616546e-05,2.803712114840048e-05,2.1817864467425928e-05
8,2.5865265609341054e-05,2.9482001238244052e-05,2.1615078678886393e-05
9,2.6397303679310514e-05,3.0141362992434516e-05,2.2342873740420493e-05
10,2.6885367429686524e-05,3.015317814497648e-05,2.4327348805527172e-05
11,2.769602280229031e-05,3.235827077400984e-05,2.356711915535445e-05
12,2.8251739992692286e-05,3.235827077400984e-05,2.475982965237199e-05
13,2.908296341004078e-05,3.381005511038983e-05,2.5581990278843693e-05
14,2.9587898279329043e-05,3.381005511038983e-05,2.5439466788776108e-05
15,3.0189583554109177e-05,3.381005511038983e-05,2.6752989646593008e-05
16,3.089098644637417e-05,3.4130857708454215e-05,2.7835768963117608e-05
17,3.1298256031506825e-05,3.505328098710039e-05,2.7846620812564395e-05
18,3.201897484391207e-05,3.552397868561279e-05,2.8462458017874424e-05
19,3.251720866537877e-05,3.556820202738752e-05,2.923207343096846e-05
20,3.342567982641026e-05,3.6473720684247e-05,2.962348549930385e-05
21,3.41142038663594e-05,3.7056251389609425e-05,3.101833183411396e-05
22,3.457731978898663e-05,3.7567151282918214e-05,3.1061688513387586e-05
23,3.469063755116548e-05,3.796939666628697e-05,3.112549800796813e-05
24,3.546023853312909e-05,3.9511636176854084e-05,3.151889557789895e-05
25,3.5847183599035176e-05,3.9511636176854084e-05,3.159657493127745e-05
