Iteration,Avg,Max,Min
1,2.162629307684868e-05,2.437954068945341e-05,2.060326355694742e-05
2,2.2483368631759857e-05,2.5075854459740714e-05,2.1575904030378873e-05
3,2.3201444473071477e-05,2.5102921980118487e-05,2.244265900623906e-05
4,2.3806043615353312e-05,2.5530393933978402e-05,2.3139042506421085e-05
5,2.4342076638997627e-05,2.591143471614023e-05,2.3747892374551757e-05
6,2.4825850734520784e-05,2.7142934694099126e-05,2.4277737314882253e-05
7,2.5273197689427477e-05,2.7142934694099126e-05,2.464389570703337e-05
8,2.570309215623157e-05,2.7142934694099126e-05,2.5186379206125328e-05
9,2.6098870026691773e-05,2.7142934694099126e-05,2.5638396061942365e-05
10,2.650719820118174e-05,2.8004928867480675e-05,2.6039632320391637e-05
11,2.6878846307518378e-05,2.8094622689217283e-05,2.6420079260237782e-05
12,2.732190451318161e-05,2.8907582458878962e-05,2.687160745955823e-05
13,2.773710682605232e-05,2.919878533053025e-05,2.7202742036397268e-05
14,2.819987734314107e-05,3.023431594860166e-05,2.7641107855602852e-05
15,2.870201133263091e-05,3.071253071253071e-05,2.808199943836001e-05
16,2.9182235652003146e-05,3.086705559156712e-05,2.858531286624932e-05
17,2.9715602457556786e-05,3.127247709291053e-05,2.9122255227444814e-05
18,3.0079135208753957e-05,3.174703958855837e-05,2.9605944873730644e-05
19,3.041684300720015e-05,3.174703958855837e-05,3.0051688904916458e-05
20,3.0681731939455266e-05,3.2324799586242565e-05,3.0317729808391947e-05
21,3.1024684654626483e-05,3.2324799586242565e-05,3.0615681351988485e-05
22,3.134747164271397e-05,3.2769694586446455e-05,3.095591877166914e-05
23,3.166417073212146e-05,3.2769694586446455e-05,3.127932436659368e-05
24,3.1974970760093746e-05,3.2769694586446455e-05,3.164156435894191e-05
25,3.226080330107876e-05,3.286770747740345e-05,3.193867773874162e-05
26,3.248559292732239e-05,3.32236951393734e-05,3.222895449271625e-05
27,3.2650628549228264e-05,3.347056264015798e-05,3.243278305711413e-05
28,3.280031779506943e-05,3.347840642785403e-05,3.261259498418289e-05
29,3.2939944511451185e-05,3.3551417547391375e-05,3.2769694586446455e-05
30,3.3103056542633244e-05,3.358973497699103e-05,3.286770747740345e-05
31,3.330796222650017e-05,3.4037918240920386e-05,3.310819758972322e-05
32,3.3461199582503326e-05,3.4037918240920386e-05,3.32236951393734e-05
33,3.36387789747658e-05,3.418803418803419e-05,3.347056264015798e-05
34,3.375112218428778e-05,3.418803418803419e-05,3.358973497699103e-05
35,3.3897576828154744e-05,3.43112026076514e-05,3.373705340575554e-05
36,3.4012299345298765e-05,3.461644973691498e-05,3.387648633083776e-05
37,3.4127870207612946e-05,3.461644973691498e-05,3.3970853008119036e-05
38,3.4233105151085703e-05,3.466324655967278e-05,3.408316291751875e-05
39,3.434146141556497e-05,3.473910928923782e-05,3.422547744541036e-05
40,3.443520013734373e-05,3.4741523068371316e-05,3.43112026076514e-05
41,3.4538605829531365e-05,3.493083694285315e-05,3.4426963197576344e-05
42,3.4606372899969957e-05,3.532570298148933e-05,3.454112120479431e-05
43,3.4669309357857585e-05,3.539948316754575e-05,3.4554250172771254e-05
44,3.4740040848108387e-05,3.539948316754575e-05,3.461644973691498e-05
45,3.480516183325927e-05,3.566079452250196e-05,3.472825143254037e-05
46,3.491760509898938e-05,3.566079452250196e-05,3.4742730083729977e-05
47,3.510607584204534e-05,3.573853686430077e-05,3.486628778633939e-05
48,3.5355078576601486e-05,3.6073734713754915e-05,3.4940600978336826e-05
49,3.5656152548474096e-05,3.6210892236384704e-05,3.539948316754575e-05
50,3.5789667156034735e-05,3.6210892236384704e-05,3.559352197899982e-05
51,3.5893043928231485e-05,3.6210892236384704e-05,3.573853686430077e-05
52,3.60078492300256e-05,3.6210892236384704e-05,3.587315253264457e-05
53,3.6099501942358345e-05,3.6210892236384704e-05,3.606202668589975e-05
54,3.612379720951494e-05,3.6210892236384704e-05,3.6073734713754915e-05
55,3.6180717581406204e-05,3.6210892236384704e-05,3.6073734713754915e-05
56,3.621089223638467e-05,3.6210892236384704e-05,3.6210892236384704e-05
57,3.621089223638467e-05,3.6210892236384704e-05,3.6210892236384704e-05
58,3.621089223638467e-05,3.6210892236384704e-05,3.6210892236384704e-05
59,3.621089223638467e-05,3.6210892236384704e-05,3.6210892236384704e-05
60,3.621089223638467e-05,3.6210892236384704e-05,3.6210892236384704e-05
61,3.621089223638467e-05,3.6210892236384704e-05,3.6210892236384704e-05
62,3.621089223638467e-05,3.6210892236384704e-05,3.6210892236384704e-05
63,3.621089223638467e-05,3.6210892236384704e-05,3.6210892236384704e-05
64,3.621089223638467e-05,3.6210892236384704e-05,3.6210892236384704e-05
65,3.621089223638467e-05,3.6210892236384704e-05,3.6210892236384704e-05
