Iteration,Avg,Max,Min
1,2.1713222302297146e-05,2.4951344877488898e-05,1.915341888527102e-05
2,2.277204141319527e-05,2.637409009389176e-05,2.0436106512987146e-05
3,2.3815247455415386e-05,2.6376177036900272e-05,2.160200466603301e-05
4,2.4878907128445976e-05,2.8122275654545965e-05,2.2478476858408074e-05
5,2.5856705539933972e-05,2.9052032189651666e-05,2.3340491083932407e-05
6,2.6854404934118487e-05,3.0057108506161708e-05,2.390743042937745e-05
7,2.7825676356949226e-05,3.2031775521317146e-05,2.4523027122467997e-05
8,2.9105371481467786e-05,3.2156408772268315e-05,2.6043701330833138e-05
9,3.0342419230021756e-05,3.400666530640005e-05,2.664535038635758e-05
10,3.1426221043332855e-05,3.504099796762212e-05,2.7990035547345146e-05
11,3.253410261371922e-05,3.5559348552734516e-05,2.9738008148214232e-05
12,3.3591852810920465e-05,3.6529680365296805e-05,3.076260497738949e-05
13,3.465066704603798e-05,3.818980332251289e-05,3.140900810352409e-05
14,3.5688111809922074e-05,3.8636890503052314e-05,3.262004175365344e-05
15,3.654832279174608e-05,3.9038101186758274e-05,3.3655302392892e-05
16,3.7390830945386744e-05,3.9992001599680064e-05,3.466444814198558e-05
17,3.8306682539479046e-05,4.048419092344439e-05,3.586414661263135e-05
18,3.9057175032388176e-05,4.141301196836046e-05,3.70919881305638e-05
19,3.983972112349799e-05,4.144218814753419e-05,3.786014462575247e-05
20,4.042337460973757e-05,4.231013327691982e-05,3.876269478254128e-05
21,4.093141027341321e-05,4.254775986044335e-05,3.942906710827222e-05
22,4.148248667548585e-05,4.284306584979221e-05,3.995205753096284e-05
23,4.2030976596976996e-05,4.3412198827870635e-05,4.064710186163727e-05
24,4.242244524193228e-05,4.361098996947231e-05,4.111334950458414e-05
25,4.276061586839524e-05,4.3614794138171665e-05,4.1597337770382697e-05
26,4.3058404644246204e-05,4.3813529617946025e-05,4.2007981516488134e-05
27,4.3364158438512134e-05,4.3813529617946025e-05,4.240882103477523e-05
28,4.360958001629536e-05,4.3813529617946025e-05,4.288164665523156e-05
29,4.3778958653743966e-05,4.3813529617946025e-05,4.341408352869671e-05
30,4.381211007880448e-05,4.3813529617946025e-05,4.3614794138171665e-05
31,4.381352961794572e-05,4.3813529617946025e-05,4.3813529617946025e-05
32,4.381352961794572e-05,4.3813529617946025e-05,4.3813529617946025e-05
33,4.381352961794572e-05,4.3813529617946025e-05,4.3813529617946025e-05
