Iteration,Avg,Max,Min
1,6.2124063461822704e-06,6.578298194257146e-06,5.831651873709747e-06
2,6.233735631225163e-06,6.5974375552535395e-06,5.93803071149484e-06
3,6.252796117068234e-06,6.5974375552535395e-06,5.983724269985639e-06
4,6.2846291423989965e-06,6.646549776011272e-06,6.013590715015936e-06
5,6.331083737391585e-06,6.668578325786726e-06,6.083650190114068e-06
6,6.377626418937683e-06,6.675121820973233e-06,6.116170543299429e-06
7,6.43179016779567e-06,6.675121820973233e-06,6.168879238020036e-06
8,6.4835140451426995e-06,6.687263438055879e-06,6.24169074919014e-06
9,6.530408281033056e-06,6.749368934004671e-06,6.297665455415678e-06
10,6.584097773590197e-06,6.830181204707361e-06,6.401310988490443e-06
11,6.620434912887799e-06,6.830181204707361e-06,6.454069613594852e-06
12,6.6317187485546814e-06,6.830181204707361e-06,6.408366763646617e-06
13,6.673224341652399e-06,6.830181204707361e-06,6.544117165873737e-06
14,6.708111079472489e-06,6.860404489448698e-06,6.600703635007492e-06
15,6.730799810969978e-06,6.887147205884378e-06,6.612706977728403e-06
16,6.763369336922754e-06,6.919026631333504e-06,6.675121820973233e-06
17,6.801531496354058e-06,6.919026631333504e-06,6.6660889389586235e-06
18,6.827837784812237e-06,6.936929437553761e-06,6.63310316465352e-06
19,6.810386844662978e-06,6.936929437553761e-06,6.438776889941987e-06
20,6.8406920078541615e-06,6.936929437553761e-06,6.612969355500007e-06
21,6.865721768344213e-06,6.936929437553761e-06,6.7128060200444385e-06
22,6.88097980311518e-06,6.937266300841491e-06,6.782143971352224e-06
23,6.897210639117336e-06,6.947387434955085e-06,6.821794268328456e-06
24,6.915751605196776e-06,6.947387434955085e-06,6.7243616899665796e-06
25,6.879582198796647e-06,6.981485101510793e-06,6.580376002684794e-06
26,6.940828484562394e-06,6.981485101510793e-06,6.919026631333504e-06
27,6.937184361507228e-06,6.981485101510793e-06,6.807583648184077e-06
28,6.948242562526794e-06,7.016657545011858e-06,6.799390774586597e-06
29,6.954175461851935e-06,7.034921349579312e-06,6.883307291487414e-06
30,6.968381367878711e-06,7.034921349579312e-06,6.922858586767648e-06
31,6.963711816759049e-06,7.034921349579312e-06,6.834756101728509e-06
32,6.9859688961389265e-06,7.051291091398835e-06,6.8735136026834196e-06
33,6.948127636776363e-06,7.051838061590754e-06,6.6726720715310444e-06
34,6.996661088986075e-06,7.051838061590754e-06,6.784904943481742e-06
35,7.0138682779791835e-06,7.069386023823831e-06,6.773782751239602e-06
36,7.030805051033791e-06,7.083908900931534e-06,6.826357933251872e-06
37,7.003617007542225e-06,7.083908900931534e-06,6.862994049784159e-06
38,7.051413207217696e-06,7.083908900931534e-06,6.99031840900353e-06
39,6.9927897424791314e-06,7.083908900931534e-06,6.780580417683753e-06
40,7.022326066587216e-06,7.083908900931534e-06,6.827150210958941e-06
41,7.0565030979319275e-06,7.083908900931534e-06,6.995159349729987e-06
42,7.038835021081038e-06,7.083908900931534e-06,6.835737234260715e-06
43,7.051106194496798e-06,7.083908900931534e-06,6.886056424346341e-06
44,7.0600618230940084e-06,7.083908900931534e-06,6.951299197820073e-06
45,7.057886165053298e-06,7.089785037717656e-06,6.847204628710329e-06
46,7.063012385183655e-06,7.089785037717656e-06,6.929574731998697e-06
47,7.0539894561316505e-06,7.089785037717656e-06,6.945457323637475e-06
48,7.0770688744260295e-06,7.089785037717656e-06,6.912952107067802e-06
49,7.067091612270313e-06,7.089785037717656e-06,6.9339472187937704e-06
50,7.0713921370894115e-06,7.089785037717656e-06,6.9429979865305835e-06
51,7.0708995729481366e-06,7.089785037717656e-06,6.954973501550959e-06
52,7.066022108010344e-06,7.089785037717656e-06,6.860875173237098e-06
53,7.07696749966061e-06,7.089785037717656e-06,6.859839754143343e-06
54,7.0865951968843015e-06,7.089785037717656e-06,6.973646589538135e-06
55,7.081060195039263e-06,7.102928537435985e-06,6.8980740577230835e-06
56,7.080599425431659e-06,7.11358980195766e-06,6.9219481130769446e-06
57,7.084915016576025e-06,7.11358980195766e-06,7.045230379033394e-06
58,7.045612505581718e-06,7.11358980195766e-06,6.846220201826572e-06
59,7.034257367722511e-06,7.11358980195766e-06,6.7415881833442325e-06
60,7.0614844424762444e-06,7.11358980195766e-06,6.870302430713e-06
