Iteration,Avg,Max,Min
1,2.1333287726076926e-05,2.4154589371980676e-05,2.0498944304368325e-05
2,2.2052237661732276e-05,2.4627508927471986e-05,2.120845793302369e-05
3,2.270017083793455e-05,2.5391666455069447e-05,2.1968848173290273e-05
4,2.3416068912101032e-05,2.5811780496618657e-05,2.2559104854719365e-05
5,2.3989869063930046e-05,2.6158836454954484e-05,2.3170138325725806e-05
6,2.4591327003584315e-05,2.6746549695089334e-05,2.385325477661427e-05
7,2.5104045672304604e-05,2.7172436280636923e-05,2.4456455281371517e-05
8,2.5551227543234397e-05,2.8059936023345865e-05,2.4996875390576178e-05
9,2.6029936361895357e-05,2.807726864330638e-05,2.5447882736156353e-05
10,2.6512694908744147e-05,2.841958677920823e-05,2.5912106135986734e-05
