Iteration,Avg,Max,Min
1,2.1343060333345215e-05,2.431788337143135e-05,1.9283799679888926e-05
2,2.1779363290262452e-05,2.431788337143135e-05,1.9561432679329436e-05
3,2.1914738365773075e-05,2.4776393052699388e-05,1.9297940909704935e-05
4,2.2473140779696186e-05,2.4786218862312553e-05,1.9074868860276587e-05
5,2.261502618348393e-05,2.638035191389453e-05,1.913106693960322e-05
6,2.316454178839404e-05,2.638035191389453e-05,1.9234468166955184e-05
7,2.3809039219049607e-05,2.898802794445894e-05,2.1090372245070126e-05
8,2.4223079923303386e-05,2.898802794445894e-05,2.180121650788114e-05
9,2.4791323894695776e-05,2.898802794445894e-05,2.044028371113791e-05
10,2.4959298355742147e-05,2.898802794445894e-05,2.103801569435971e-05
11,2.5409831349003365e-05,2.946289148817065e-05,2.0984597305577707e-05
12,2.5863907087807725e-05,3.006885768409658e-05,2.1888064438461705e-05
13,2.6273044883528335e-05,3.006885768409658e-05,2.2996435552489364e-05
14,2.6185036735078e-05,3.006976184748617e-05,2.2454753671352224e-05
15,2.58617312137491e-05,3.006976184748617e-05,2.1743857360295716e-05
16,2.678610523644227e-05,3.060537430372773e-05,2.2515423064799387e-05
17,2.6638387329566933e-05,3.060537430372773e-05,2.203808180535966e-05
18,2.7146654495392935e-05,3.060537430372773e-05,2.1759944294542607e-05
19,2.779887179649461e-05,3.125292996218395e-05,2.4440316746505035e-05
20,2.809395952863081e-05,3.146435089044113e-05,2.391772303276728e-05
21,2.8513288743975215e-05,3.1527839081909326e-05,2.4585730442051434e-05
22,2.880708453938694e-05,3.1527839081909326e-05,2.4137681334331025e-05
23,2.86851326494564e-05,3.2180209171359616e-05,2.3501762632197415e-05
24,2.903349602504465e-05,3.2180209171359616e-05,2.4735943799935685e-05
25,2.9421914531946498e-05,3.2468586642423456e-05,2.420604182804028e-05
26,2.9794223150334897e-05,3.264879689183453e-05,2.5955823188932436e-05
27,2.983148064733312e-05,3.264879689183453e-05,2.550499897980004e-05
28,3.0074838477487888e-05,3.317189676905725e-05,2.507774099709098e-05
29,2.9999807637161483e-05,3.317189676905725e-05,2.632479532471635e-05
30,3.0451478138471677e-05,3.375185635209936e-05,2.6655293741337028e-05
31,3.0368321094588934e-05,3.375185635209936e-05,2.659433008882506e-05
32,3.045645146639344e-05,3.42641768031523e-05,2.574466441829931e-05
33,3.0290552330474464e-05,3.42641768031523e-05,2.624465265202215e-05
34,3.06639984082392e-05,3.5277101633329805e-05,2.6420079260237782e-05
35,3.1142159364266806e-05,3.5277101633329805e-05,2.5075854459740714e-05
36,3.183686795048065e-05,3.543209439109946e-05,2.6904140547230218e-05
37,3.163041085697211e-05,3.543209439109946e-05,2.6182122846520396e-05
38,3.2015728158129724e-05,3.6204337279606094e-05,2.742957456729846e-05
39,3.169879153496521e-05,3.6204337279606094e-05,2.6925148088314486e-05
40,3.154987112980321e-05,3.6204337279606094e-05,2.470721944952315e-05
41,3.2304892849940386e-05,3.6204337279606094e-05,2.6466229091679018e-05
42,3.2416172915531316e-05,3.6204337279606094e-05,2.7731558513588462e-05
43,3.2413547407807664e-05,3.6685131516196485e-05,2.8333427778092593e-05
44,3.25996068664883e-05,3.6685131516196485e-05,2.7018264346698368e-05
45,3.218095634037861e-05,3.6685131516196485e-05,2.6137640816539898e-05
46,3.2693877870921444e-05,3.6685131516196485e-05,2.7634996960150333e-05
47,3.329378540765533e-05,3.7053505261597744e-05,2.835672763363108e-05
48,3.355054947320443e-05,3.7053505261597744e-05,2.8675479597396267e-05
49,3.3354964417449376e-05,3.749390724007349e-05,2.7247213972371324e-05
50,3.413842940989926e-05,3.749390724007349e-05,2.906216396872911e-05
51,3.3743513016792186e-05,3.749390724007349e-05,2.9338418659234267e-05
52,3.403435087331358e-05,3.749390724007349e-05,2.8768699654775603e-05
53,3.348918492832945e-05,3.749390724007349e-05,2.6696566821506754e-05
54,3.397927067350298e-05,3.7670458826188506e-05,2.7957169616148062e-05
55,3.439728703308695e-05,3.7670458826188506e-05,2.99895036737142e-05
56,3.478691407957187e-05,3.7670458826188506e-05,3.0112318949682314e-05
57,3.4984547984692646e-05,3.7670458826188506e-05,3.0661679033543874e-05
58,3.4792397055259556e-05,3.7670458826188506e-05,2.9392745870319205e-05
59,3.4599107706134164e-05,3.7670458826188506e-05,3.0242545212605094e-05
60,3.542771374670885e-05,3.7670458826188506e-05,2.9539479514370955e-05
61,3.5212744802352464e-05,3.7670458826188506e-05,3.0485945978903724e-05
62,3.4479756837052854e-05,3.7670458826188506e-05,3.0473868657626086e-05
63,3.4616950243038913e-05,3.7670458826188506e-05,2.9197080291970804e-05
64,3.439315622458282e-05,3.7670458826188506e-05,2.9918621349928195e-05
65,3.4011648661613745e-05,3.7670458826188506e-05,2.7824925568324105e-05
66,3.405525441819797e-05,3.7670458826188506e-05,2.786058562950993e-05
67,3.4103643017562355e-05,3.7670458826188506e-05,2.9063853285668613e-05
68,3.3844337155339844e-05,3.7670458826188506e-05,2.8348688873139616e-05
69,3.374977453325696e-05,3.7670458826188506e-05,2.8499772001823985e-05
70,3.5029289836181564e-05,3.7670458826188506e-05,2.9552574029197942e-05
71,3.5119344420658674e-05,3.7670458826188506e-05,2.944033915270704e-05
72,3.572965661916665e-05,3.7670458826188506e-05,3.154972236244321e-05
73,3.5627218361129684e-05,3.781433163168841e-05,3.1686682087518616e-05
74,3.474313219759076e-05,3.781433163168841e-05,2.9208166603382307e-05
75,3.470197425876093e-05,3.781433163168841e-05,2.8890879149452517e-05
76,3.4182965991943824e-05,3.781433163168841e-05,2.577386015103482e-05
77,3.478760733853162e-05,3.781433163168841e-05,2.8776978417266186e-05
78,3.455069970536036e-05,3.781433163168841e-05,2.8395377232586536e-05
79,3.459431345394306e-05,3.781433163168841e-05,2.7854377315395116e-05
80,3.4644270723915734e-05,3.781433163168841e-05,2.691862499663517e-05
81,3.522184810174379e-05,3.781433163168841e-05,3.037851631326326e-05
82,3.512690700030651e-05,3.781433163168841e-05,2.8406669886089252e-05
83,3.531993816588293e-05,3.781433163168841e-05,2.9138378157871734e-05
84,3.520544819589521e-05,3.781433163168841e-05,2.957617343468102e-05
85,3.446685484498244e-05,3.781433163168841e-05,2.8398602788742794e-05
86,3.3514966078832096e-05,3.781433163168841e-05,2.754138092483957e-05
87,3.427972205146379e-05,3.781433163168841e-05,2.7021184608733246e-05
88,3.4605459719962725e-05,3.781433163168841e-05,2.999760019198464e-05
89,3.413022785722048e-05,3.781433163168841e-05,2.7496700395952487e-05
90,3.412481962857635e-05,3.781433163168841e-05,2.5643655759565083e-05
91,3.414820847012458e-05,3.781433163168841e-05,2.7766208524226018e-05
92,3.45053224462065e-05,3.781433163168841e-05,2.89569699426652e-05
93,3.470342813385849e-05,3.781433163168841e-05,2.942907592701589e-05
94,3.4350469388466716e-05,3.781433163168841e-05,2.7648750276487504e-05
95,3.453627360293756e-05,3.781433163168841e-05,2.8041052100274803e-05
96,3.51150875353552e-05,3.781433163168841e-05,2.967359050445104e-05
97,3.452957205272419e-05,3.781433163168841e-05,2.896451846488052e-05
98,3.4899415383776786e-05,3.781433163168841e-05,2.8625407912062748e-05
99,3.438911272123062e-05,3.781433163168841e-05,2.8772010588099897e-05
100,3.4838661929021246e-05,3.781433163168841e-05,2.9260299625468165e-05
101,3.4954377006350886e-05,3.781433163168841e-05,3.05548765582987e-05
102,3.498363001731019e-05,3.781433163168841e-05,2.939620201070022e-05
103,3.533881493056843e-05,3.781433163168841e-05,3.0466441215001674e-05
104,3.546560670274742e-05,3.781433163168841e-05,3.077964849641417e-05
105,3.5075099921781256e-05,3.781433163168841e-05,2.9723865291442498e-05
106,3.503007341293382e-05,3.781433163168841e-05,3.108292925525301e-05
107,3.487303742814498e-05,3.781433163168841e-05,2.8290143713930068e-05
108,3.477502440746711e-05,3.781433163168841e-05,3.017137340091721e-05
109,3.4369778634030166e-05,3.781433163168841e-05,2.956917708980159e-05
110,3.435421451525478e-05,3.781433163168841e-05,2.9183447148777215e-05
111,3.47516375293088e-05,3.781433163168841e-05,2.7577838449022366e-05
112,3.4650736413609795e-05,3.781433163168841e-05,2.7096599376778213e-05
113,3.487120142484871e-05,3.781433163168841e-05,2.982937596945472e-05
114,3.471566607688968e-05,3.781433163168841e-05,2.997691777331455e-05
115,3.537894184162384e-05,3.781433163168841e-05,2.9349612585113877e-05
116,3.4834497917697835e-05,3.781433163168841e-05,2.7350053332604e-05
117,3.492907070263916e-05,3.781433163168841e-05,2.7814864263462394e-05
118,3.563974745238316e-05,3.781433163168841e-05,3.1788416301099876e-05
119,3.501582094245801e-05,3.781433163168841e-05,3.0325084910237748e-05
120,3.497373647036701e-05,3.781433163168841e-05,2.9072302817106143e-05
121,3.519049549479673e-05,3.781433163168841e-05,3.0371135273036507e-05
122,3.498132013742878e-05,3.781433163168841e-05,2.9376340295525985e-05
123,3.526667182263634e-05,3.781433163168841e-05,3.086991418163858e-05
124,3.5473295341866513e-05,3.781433163168841e-05,2.8834232000230674e-05
125,3.582540010577715e-05,3.781433163168841e-05,3.200716960599174e-05
126,3.528105513805097e-05,3.781433163168841e-05,3.009238361770636e-05
127,3.514691499398894e-05,3.781433163168841e-05,2.915451895043732e-05
128,3.5198610722586934e-05,3.781433163168841e-05,2.749216473305108e-05
129,3.486539981515909e-05,3.781433163168841e-05,2.8369599137564186e-05
130,3.5226388364069546e-05,3.781433163168841e-05,2.9879287677781763e-05
131,3.485807614025865e-05,3.781433163168841e-05,2.8831737977165263e-05
132,3.486505569940499e-05,3.781433163168841e-05,2.77069710739222e-05
133,3.499870258105106e-05,3.781433163168841e-05,2.8829244385504656e-05
134,3.491305728969279e-05,3.781433163168841e-05,2.9433406916850625e-05
135,3.3981629479460756e-05,3.781433163168841e-05,2.8060723405449393e-05
136,3.4260639354912235e-05,3.781433163168841e-05,2.8188865398167723e-05
137,3.4646968250794504e-05,3.781433163168841e-05,2.9392745870319205e-05
138,3.4217094180201765e-05,3.781433163168841e-05,2.7961860022928726e-05
139,3.485493017857271e-05,3.781433163168841e-05,2.873480647107842e-05
140,3.475784123637944e-05,3.781433163168841e-05,2.9681517319165355e-05
141,3.484767392518102e-05,3.781433163168841e-05,2.9081602977956145e-05
142,3.420787874430244e-05,3.781433163168841e-05,2.892095901900107e-05
143,3.473251551434186e-05,3.781433163168841e-05,2.9397066172795955e-05
144,3.503524793488165e-05,3.781433163168841e-05,3.0358227079538556e-05
145,3.468475746676148e-05,3.781433163168841e-05,2.936167713899818e-05
146,3.4112817505791436e-05,3.781433163168841e-05,2.856897980173128e-05
147,3.4948188541989636e-05,3.781433163168841e-05,2.8488405219075836e-05
148,3.5247092479310075e-05,3.781433163168841e-05,2.8766216954808274e-05
149,3.4791556387496886e-05,3.781433163168841e-05,3.029752166272799e-05
150,3.4041587098208124e-05,3.781433163168841e-05,2.764798584423125e-05
151,3.459769354137344e-05,3.781433163168841e-05,2.8274945570729776e-05
152,3.460005213539847e-05,3.781433163168841e-05,2.797907165440251e-05
153,3.463322545949422e-05,3.781433163168841e-05,2.8735632183908045e-05
154,3.409216265746407e-05,3.781433163168841e-05,2.7858257187430356e-05
155,3.381244778099694e-05,3.781433163168841e-05,2.7099536597924175e-05
156,3.363885454461547e-05,3.781433163168841e-05,2.7936862690319878e-05
157,3.3861611109123164e-05,3.781433163168841e-05,2.718056046315675e-05
158,3.389397023428821e-05,3.781433163168841e-05,2.870676044208411e-05
159,3.371094207956157e-05,3.781433163168841e-05,2.6876662993522724e-05
160,3.3056932263082626e-05,3.781433163168841e-05,2.629987113063146e-05
161,3.414533493628845e-05,3.781433163168841e-05,2.7432584423778564e-05
162,3.4199583332539135e-05,3.781433163168841e-05,2.798846875087464e-05
163,3.485659268991762e-05,3.781433163168841e-05,2.956917708980159e-05
164,3.5056674044206414e-05,3.781433163168841e-05,2.8835063437139562e-05
165,3.538988703077108e-05,3.781433163168841e-05,3.0813792253412625e-05
166,3.551701942015851e-05,3.781433163168841e-05,3.059226627508566e-05
167,3.554090703744868e-05,3.781433163168841e-05,3.098085383233162e-05
168,3.5295207977100047e-05,3.781433163168841e-05,3.0435841246652057e-05
169,3.5155757981085935e-05,3.781433163168841e-05,2.9336697274620823e-05
170,3.4961647009851463e-05,3.781433163168841e-05,2.923207343096846e-05
171,3.45181472811195e-05,3.781433163168841e-05,2.873067861862897e-05
172,3.525280617936234e-05,3.781433163168841e-05,3.0205092578608753e-05
173,3.5237131112673597e-05,3.781433163168841e-05,3.009419482981733e-05
174,3.570058129470697e-05,3.781433163168841e-05,3.0505475732894054e-05
175,3.5201062998658e-05,3.781433163168841e-05,2.8926815157651144e-05
176,3.433440816910071e-05,3.781433163168841e-05,2.7590773645293013e-05
177,3.411460005086577e-05,3.781433163168841e-05,2.872407652093985e-05
178,3.3984528309062315e-05,3.781433163168841e-05,2.612944527187688e-05
179,3.4549151416874086e-05,3.781433163168841e-05,2.7640343845877443e-05
180,3.492546785924463e-05,3.781433163168841e-05,3.006524157421605e-05
181,3.5111604665351836e-05,3.781433163168841e-05,2.9696501752093604e-05
182,3.472778418548235e-05,3.781433163168841e-05,2.840586297011703e-05
183,3.4483188216136444e-05,3.781433163168841e-05,3.037943919555245e-05
