Iteration,Avg,Max,Min
1,2.1065572031294527e-05,2.252100083327703e-05,2.0594353028399614e-05
2,2.1326661268948418e-05,2.252100083327703e-05,2.0919626793857997e-05
3,2.1565611544218478e-05,2.252100083327703e-05,2.1147908471852134e-05
4,2.192907913699727e-05,2.2830528983356545e-05,2.1505838835243767e-05
5,2.2331908846567873e-05,2.378234398782344e-05,2.1837398729063396e-05
6,2.2710006729695893e-05,2.378234398782344e-05,2.220150082145553e-05
7,2.306956976683909e-05,2.383222116301239e-05,2.2658268001993928e-05
8,2.3345618619882375e-05,2.383222116301239e-05,2.3013900395839086e-05
9,2.3562410283697637e-05,2.392516209297318e-05,2.3313283909171446e-05
10,2.3630764550898298e-05,2.392516209297318e-05,2.3437316895961752e-05
11,2.3761642959947604e-05,2.418028822903569e-05,2.3625023625023624e-05
12,2.3801325897164647e-05,2.418028822903569e-05,2.3687701345461435e-05
13,2.3895126708827706e-05,2.4200769584472787e-05,2.378234398782344e-05
14,2.399146050886536e-05,2.4252419178813087e-05,2.3851547965462958e-05
15,2.4097003421296856e-05,2.4290121207704826e-05,2.3933178565445277e-05
16,2.415850544839784e-05,2.4336229344625345e-05,2.4040773151264544e-05
17,2.4237349107824214e-05,2.4618414574101428e-05,2.412894508252099e-05
18,2.4325568060591633e-05,2.471027206009538e-05,2.4191987613702342e-05
19,2.441328277654492e-05,2.471027206009538e-05,2.4254183846713557e-05
20,2.4599727793594694e-05,2.5058888387711123e-05,2.43842965130456e-05
21,2.47397298962602e-05,2.5058888387711123e-05,2.457002457002457e-05
22,2.4861860937660723e-05,2.5058888387711123e-05,2.4723101265822784e-05
23,2.4920412603241e-05,2.5251249936871874e-05,2.4804048020636968e-05
24,2.500529269044417e-05,2.5349185023701486e-05,2.4904739371902472e-05
25,2.5063438130369374e-05,2.5349185023701486e-05,2.4963179310516987e-05
26,2.515203985438131e-05,2.53613999492772e-05,2.5030662561638006e-05
27,2.5254736846919037e-05,2.567723712928489e-05,2.5145845906256287e-05
28,2.531170161011587e-05,2.567723712928489e-05,2.5251249936871874e-05
29,2.5384252765564636e-05,2.567723712928489e-05,2.5263370638910644e-05
30,2.54792321953432e-05,2.5711567634278663e-05,2.5349185023701486e-05
31,2.555405329763867e-05,2.5764563419472856e-05,2.5450473378804846e-05
32,2.5662563466070975e-05,2.5907406927640612e-05,2.5503047614189897e-05
33,2.5755159824797907e-05,2.6108297216855516e-05,2.5668009959187865e-05
34,2.581791497319824e-05,2.6108297216855516e-05,2.575527339222706e-05
35,2.5869747667601912e-05,2.6132859457481837e-05,2.575527339222706e-05
36,2.5915607653203137e-05,2.6132859457481837e-05,2.588326646822829e-05
37,2.5954876422330508e-05,2.6132859457481837e-05,2.588326646822829e-05
38,2.6006785741614132e-05,2.61437908496732e-05,2.5918150480781693e-05
39,2.6097394115173806e-05,2.61437908496732e-05,2.5972002181648184e-05
40,2.6124781892650217e-05,2.61437908496732e-05,2.6108297216855516e-05
41,2.6135182976985143e-05,2.6158836454954484e-05,2.612330198537095e-05
42,2.6136822983612308e-05,2.6158836454954484e-05,2.6132859457481837e-05
43,2.6137478867143784e-05,2.6158836454954484e-05,2.6132859457481837e-05
44,2.614568269454599e-05,2.616841995080337e-05,2.6132859457481837e-05
45,2.6154297722797195e-05,2.616841995080337e-05,2.61437908496732e-05
46,2.616023530106875e-05,2.616841995080337e-05,2.61437908496732e-05
47,2.6166503251633566e-05,2.616841995080337e-05,2.6158836454954484e-05
48,2.6168433646885803e-05,2.6169104754926335e-05,2.616841995080337e-05
49,2.6168433646885803e-05,2.6169104754926335e-05,2.616841995080337e-05
50,2.616862545729382e-05,2.6178010471204188e-05,2.616841995080337e-05
51,2.616862545729382e-05,2.6178010471204188e-05,2.616841995080337e-05
52,2.616863915337628e-05,2.6178010471204188e-05,2.616841995080337e-05
53,2.6169146096316288e-05,2.6181437360911114e-05,2.616841995080337e-05
54,2.6170461389217707e-05,2.6181437360911114e-05,2.616841995080337e-05
55,2.6173367458756594e-05,2.6199958080067072e-05,2.616841995080337e-05
56,2.6175367993384936e-05,2.6199958080067072e-05,2.6169104754926335e-05
57,2.6179301734781784e-05,2.620888481195125e-05,2.6169104754926335e-05
58,2.618960269771076e-05,2.621438120953155e-05,2.6178010471204188e-05
59,2.619459640593648e-05,2.621438120953155e-05,2.617869577737637e-05
60,2.6203529344294353e-05,2.621438120953155e-05,2.6191037426992482e-05
61,2.620865199093977e-05,2.6221942521501992e-05,2.6199958080067072e-05
62,2.6211550745733616e-05,2.6227444397817876e-05,2.620957173559784e-05
63,2.621403824357149e-05,2.6227444397817876e-05,2.620957173559784e-05
64,2.6216388421604282e-05,2.6228132294699294e-05,2.621438120953155e-05
65,2.6217625866394938e-05,2.6228132294699294e-05,2.621438120953155e-05
66,2.622003237527461e-05,2.6233636769065297e-05,2.621506842132858e-05
67,2.622492812313442e-05,2.6233636769065297e-05,2.621506842132858e-05
