Iteration,Avg,Max,Min
1,2.1492921428585918e-05,2.3737181921762248e-05,2.0631318341242005e-05
2,2.211515911576559e-05,2.449839535510424e-05,2.1316053119604375e-05
3,2.2748194591478564e-05,2.4879954220884234e-05,2.1961611103790576e-05
4,2.337640996850372e-05,2.5443997760928197e-05,2.2721592329190428e-05
5,2.391329668931907e-05,2.5739363208154232e-05,2.330187580100198e-05
6,2.4377988666536257e-05,2.653857381704307e-05,2.380952380952381e-05
7,2.4777860963732728e-05,2.6726534103057515e-05,2.4258302403997768e-05
8,2.529882680591823e-05,2.74589488714372e-05,2.470721944952315e-05
9,2.581209707217921e-05,2.74589488714372e-05,2.5177501384762575e-05
10,2.6380004210405226e-05,2.7828797239383314e-05,2.5756600128783e-05
11,2.6877672289786687e-05,2.8854199728770522e-05,2.6354627872654437e-05
12,2.7287101564454903e-05,2.8854199728770522e-05,2.673510854454069e-05
13,2.7719656680459068e-05,2.9116319697190274e-05,2.7239791887989977e-05
14,2.8169127194017923e-05,2.9581422866439876e-05,2.76900924849089e-05
15,2.8637861266123463e-05,3.0289262456459185e-05,2.8087520714546528e-05
16,2.9042127697462553e-05,3.090903471084598e-05,2.8574694250771517e-05
17,2.938948675616151e-05,3.090903471084598e-05,2.8952778019050928e-05
18,2.9772652560898495e-05,3.150300853731531e-05,2.9332394696703038e-05
19,3.0118858143810117e-05,3.205950243652218e-05,2.9643682931167367e-05
20,3.052594193597478e-05,3.205950243652218e-05,3.0041758043680716e-05
21,3.092849033340488e-05,3.2324799586242565e-05,3.0460873008620428e-05
22,3.131946575080436e-05,3.2947843563638756e-05,3.0861339999382775e-05
23,3.172681008476129e-05,3.300221114814693e-05,3.125097659301853e-05
24,3.218429500455153e-05,3.3665499596014004e-05,3.166861956487317e-05
25,3.25790064837191e-05,3.3768952824772905e-05,3.2140905730723495e-05
26,3.2926945661761994e-05,3.3840947546531304e-05,3.258602711157456e-05
27,3.3223718273620415e-05,3.4127363319909904e-05,3.289149097128573e-05
28,3.346972959271057e-05,3.428179636612959e-05,3.318951211417192e-05
29,3.370526840040767e-05,3.440564252537416e-05,3.3434752081313316e-05
30,3.3869448720850526e-05,3.456619426201175e-05,3.3675702980299716e-05
31,3.402489281544254e-05,3.4573364679850644e-05,3.381805884342239e-05
32,3.415667030633017e-05,3.4573364679850644e-05,3.396277679663089e-05
33,3.430679713497931e-05,3.487723214285714e-05,3.411921252857484e-05
34,3.446966791730464e-05,3.5172874679047515e-05,3.428179636612959e-05
35,3.4617112942564586e-05,3.5172874679047515e-05,3.4428148454176133e-05
36,3.47370031331056e-05,3.5390713476783694e-05,3.4573364679850644e-05
37,3.484423997878218e-05,3.5390713476783694e-05,3.468007629616785e-05
38,3.4971191310122476e-05,3.551767004084532e-05,3.482621717629031e-05
39,3.5089805107564874e-05,3.554039165511604e-05,3.495403544339194e-05
40,3.5203673119140763e-05,3.5775615340583855e-05,3.503977013910789e-05
41,3.5310414257757525e-05,3.5775615340583855e-05,3.5172874679047515e-05
42,3.5425062367057394e-05,3.5942779095679676e-05,3.526466128292838e-05
43,3.554972259407842e-05,3.610238636773891e-05,3.5390713476783694e-05
44,3.56707686936152e-05,3.610238636773891e-05,3.554039165511604e-05
45,3.577432585510066e-05,3.610238636773891e-05,3.5650623885918004e-05
46,3.589259792067675e-05,3.6396724294813465e-05,3.572704537334762e-05
47,3.5984386334516e-05,3.6396724294813465e-05,3.5942779095679676e-05
