Iteration,Avg,Max,Min
1,2.1016151229709467e-05,2.1956789039170913e-05,2.053894183371673e-05
2,2.132605627798341e-05,2.2150847269908075e-05,2.0985478049189962e-05
3,2.1613183929323288e-05,2.24517287831163e-05,2.130787752232e-05
4,2.179202466878667e-05,2.24517287831163e-05,2.153455218898723e-05
5,2.198075412208195e-05,2.279825821307252e-05,2.1762312028029858e-05
6,2.2170056715926226e-05,2.3042536522420388e-05,2.1956789039170913e-05
7,2.2372211489894033e-05,2.329970409375801e-05,2.2138097451904982e-05
8,2.2587195786562532e-05,2.329970409375801e-05,2.23448707349228e-05
9,2.2821689700052343e-05,2.3786303846245333e-05,2.2557578218402474e-05
10,2.3068922218673474e-05,2.379932409919558e-05,2.279202279202279e-05
11,2.329992121349408e-05,2.407028523288001e-05,2.3053692048781614e-05
12,2.3486363345110213e-05,2.4110910186859555e-05,2.3230962226455418e-05
13,2.3664855872716167e-05,2.4323206771580764e-05,2.3429629108971205e-05
14,2.3841030318806e-05,2.4490595611285266e-05,2.3656320968962907e-05
15,2.4007961287268965e-05,2.467186420605941e-05,2.381122461128176e-05
16,2.4162527846140142e-05,2.4783761679347693e-05,2.397276693675984e-05
17,2.4333250919872918e-05,2.499937501562461e-05,2.4127780726728754e-05
18,2.4490090625871625e-05,2.5348542458808618e-05,2.42883513067133e-05
19,2.4649023132042408e-05,2.5492645371810232e-05,2.4459446238137168e-05
20,2.479790442594535e-05,2.569241046194954e-05,2.45935909102088e-05
21,2.4969581637288288e-05,2.569241046194954e-05,2.471882338400692e-05
22,2.5150424921129565e-05,2.569241046194954e-05,2.4925845609312294e-05
23,2.531205893436788e-05,2.5847140013957454e-05,2.509410288582183e-05
24,2.546759120851316e-05,2.6035564581217945e-05,2.529404325281396e-05
25,2.5600769285673113e-05,2.6049807231426486e-05,2.544529262086514e-05
26,2.57202450897843e-05,2.6173899387530754e-05,2.5563025639714716e-05
27,2.5846871073399375e-05,2.630678978244285e-05,2.569241046194954e-05
28,2.5976254633171234e-05,2.6365050489071687e-05,2.5826446280991735e-05
29,2.6088132186264987e-05,2.6611315131193784e-05,2.596391016487083e-05
30,2.6203960355907418e-05,2.6717251329183253e-05,2.606134841416695e-05
31,2.633011198794461e-05,2.682691275887971e-05,2.61882938326568e-05
32,2.6444814339555142e-05,2.6870163370593294e-05,2.6301254569842983e-05
33,2.6544059580901382e-05,2.7012425715829283e-05,2.6405428956193393e-05
34,2.6666068402210266e-05,2.7239791887989977e-05,2.6511134676564155e-05
35,2.6775074992856184e-05,2.7333606669400026e-05,2.6628321883154923e-05
36,2.691634977062742e-05,2.7333606669400026e-05,2.6740827896031662e-05
37,2.704038303438864e-05,2.7594580424404646e-05,2.6882443076426786e-05
38,2.7147417945048246e-05,2.7594580424404646e-05,2.7002943320821968e-05
39,2.7249177259696063e-05,2.7594580424404646e-05,2.7139988058405254e-05
40,2.733831129619428e-05,2.762888876609383e-05,2.7239791887989977e-05
41,2.7419443843378035e-05,2.7700063710146532e-05,2.731867231252561e-05
42,2.749713618144976e-05,2.781563795165642e-05,2.7411529289219047e-05
43,2.7553354189884167e-05,2.781563795165642e-05,2.746649088112503e-05
44,2.761819528696789e-05,2.7859033291544782e-05,2.7548209366391185e-05
45,2.7674354668223484e-05,2.7923601027588518e-05,2.760295903720879e-05
46,2.7733735648981578e-05,2.7980637398919947e-05,2.764722145424385e-05
47,2.780063922850374e-05,2.8118321898549094e-05,2.772617628302881e-05
48,2.78732997663673e-05,2.821909303834975e-05,2.7790901258927826e-05
49,2.792195575617655e-05,2.821909303834975e-05,2.7852825669164137e-05
50,2.7994134600508792e-05,2.8377649763046623e-05,2.7914247431889235e-05
51,2.806497080509458e-05,2.8377649763046623e-05,2.797046319087044e-05
52,2.814345265443844e-05,2.8415548988406457e-05,2.8062298302230953e-05
53,2.8207655881440894e-05,2.8415548988406457e-05,2.812385746829035e-05
54,2.827237028889801e-05,2.8575510787255323e-05,2.819522372910029e-05
55,2.8327765239320534e-05,2.8575510787255323e-05,2.8265355154187514e-05
56,2.839158052483722e-05,2.862376917792535e-05,2.832139114673313e-05
57,2.844050452510316e-05,2.872160151650056e-05,2.8367989560579842e-05
58,2.8507501018741716e-05,2.872160151650056e-05,2.8425241614553722e-05
59,2.8567221925397146e-05,2.8729853190450197e-05,2.8495711395434986e-05
60,2.8613807835348456e-05,2.8861694758716232e-05,2.8542885685742827e-05
61,2.866018048427342e-05,2.8861694758716232e-05,2.8615578320837863e-05
62,2.8700646858073835e-05,2.8861694758716232e-05,2.8650011460004585e-05
63,2.8721392596605987e-05,2.8861694758716232e-05,2.8703464508166136e-05
64,2.874232506377307e-05,2.8904240252044977e-05,2.8703464508166136e-05
65,2.8789151162567908e-05,2.8904240252044977e-05,2.870676044208411e-05
66,2.883473541302316e-05,2.898550724637681e-05,2.8772010588099897e-05
67,2.888199993511396e-05,2.907061251780575e-05,2.8852534695172972e-05
68,2.892600369447753e-05,2.907061251780575e-05,2.8861694758716232e-05
69,2.8987121093446772e-05,2.91468710833892e-05,2.8936859771977546e-05
70,2.9021587813583438e-05,2.91468710833892e-05,2.898550724637681e-05
71,2.904423547553573e-05,2.91468710833892e-05,2.9012417314610652e-05
72,2.907951530758678e-05,2.91468710833892e-05,2.9012417314610652e-05
73,2.9106341953101664e-05,2.9160470066777477e-05,2.907061251780575e-05
74,2.9142740087083756e-05,2.9160470066777477e-05,2.907061251780575e-05
75,2.914693907830623e-05,2.9160470066777477e-05,2.91468710833892e-05
76,2.9147007073223172e-05,2.9160470066777477e-05,2.91468710833892e-05
77,2.9147347047807874e-05,2.9160470066777477e-05,2.91468710833892e-05
78,2.9147755017309524e-05,2.9160470066777477e-05,2.91468710833892e-05
79,2.9148638951229765e-05,2.9160470066777477e-05,2.91468710833892e-05
80,2.9151018773322695e-05,2.9160470066777477e-05,2.91468710833892e-05
81,2.9154622503920558e-05,2.9160470066777477e-05,2.91468710833892e-05
82,2.916047006677747e-05,2.9160470066777477e-05,2.9160470066777477e-05
83,2.916047006677747e-05,2.9160470066777477e-05,2.9160470066777477e-05
84,2.916047006677747e-05,2.9160470066777477e-05,2.9160470066777477e-05
85,2.916047006677747e-05,2.9160470066777477e-05,2.9160470066777477e-05
86,2.916047006677747e-05,2.9160470066777477e-05,2.9160470066777477e-05
87,2.916047006677747e-05,2.9160470066777477e-05,2.9160470066777477e-05
88,2.916047006677747e-05,2.9160470066777477e-05,2.9160470066777477e-05
89,2.916047006677747e-05,2.9160470066777477e-05,2.9160470066777477e-05
90,2.916047006677747e-05,2.9160470066777477e-05,2.9160470066777477e-05
91,2.916047006677747e-05,2.9160470066777477e-05,2.9160470066777477e-05
92,2.916047006677747e-05,2.9160470066777477e-05,2.9160470066777477e-05
93,2.916047006677747e-05,2.9160470066777477e-05,2.9160470066777477e-05
94,2.916047006677747e-05,2.9160470066777477e-05,2.9160470066777477e-05
95,2.916047006677747e-05,2.9160470066777477e-05,2.9160470066777477e-05
96,2.916047006677747e-05,2.9160470066777477e-05,2.9160470066777477e-05
97,2.916047006677747e-05,2.9160470066777477e-05,2.9160470066777477e-05
98,2.916047006677747e-05,2.9160470066777477e-05,2.9160470066777477e-05
99,2.916047006677747e-05,2.9160470066777477e-05,2.9160470066777477e-05
100,2.916047006677747e-05,2.9160470066777477e-05,2.9160470066777477e-05
