Iteration,Avg,Max,Min
1,2.1313675787013833e-05,2.513257432958858e-05,1.756882587536675e-05
2,2.1724485963595022e-05,2.513257432958858e-05,1.937083527041686e-05
3,2.1843355281976667e-05,2.5341476394414738e-05,1.883310105842028e-05
4,2.2379418621096792e-05,2.557021581262146e-05,1.941596769182976e-05
5,2.234293331232387e-05,2.557021581262146e-05,1.8436578171091445e-05
6,2.2691012906312226e-05,2.557021581262146e-05,1.9241870309794112e-05
7,2.2782281442716273e-05,2.6403337381845065e-05,1.9349096397198252e-05
8,2.3530935222694904e-05,2.7930620339077732e-05,1.9738660139749715e-05
9,2.4315828107077706e-05,2.7930620339077732e-05,1.9730870920642437e-05
10,2.478402486171034e-05,2.8508709410724977e-05,1.964713741207906e-05
11,2.5137407012533093e-05,2.8803502505904717e-05,2.1910604732690622e-05
12,2.5388522244290878e-05,2.8803502505904717e-05,2.2524551761419946e-05
13,2.5294023109490618e-05,2.9364263691087946e-05,2.1528525296017223e-05
14,2.599143341526186e-05,3.017319413433106e-05,2.2237046920169e-05
15,2.6476823961228886e-05,3.017319413433106e-05,2.157311127410795e-05
16,2.7117216519933203e-05,3.0453451898772727e-05,2.3127804246264858e-05
17,2.7155841247152278e-05,3.0900438786230764e-05,2.356489772834386e-05
18,2.721195473460466e-05,3.0900438786230764e-05,2.261931689662972e-05
19,2.786545171623462e-05,3.15905860053704e-05,2.2701990964607595e-05
20,2.8249976084916496e-05,3.325020781379884e-05,2.2546897546897547e-05
21,2.820859141752328e-05,3.325020781379884e-05,2.379592613744527e-05
22,2.8697848763216906e-05,3.325020781379884e-05,2.2744330975504356e-05
23,2.87256603998876e-05,3.347840642785403e-05,2.462205150933176e-05
24,2.9336496824691046e-05,3.4042553191489365e-05,2.4243011951804894e-05
25,2.9561503505049822e-05,3.4108738658844396e-05,2.416217652886172e-05
26,2.9829476586248566e-05,3.4108738658844396e-05,2.5036929470969682e-05
27,3.0260172197422156e-05,3.4108738658844396e-05,2.655266721542179e-05
28,2.9892177725086764e-05,3.4615251479802e-05,2.4242424242424244e-05
29,3.060763309449904e-05,3.4615251479802e-05,2.491839226533104e-05
30,3.0458648309108324e-05,3.572704537334762e-05,2.5178769261758485e-05
31,3.0540650144969886e-05,3.572704537334762e-05,2.4733496574410723e-05
32,3.0619759269658545e-05,3.572704537334762e-05,2.5191455058444177e-05
33,3.146085886678274e-05,3.588860178007465e-05,2.5664057487488772e-05
34,3.183199664522453e-05,3.588860178007465e-05,2.59794242959576e-05
35,3.249505765898847e-05,3.588860178007465e-05,2.871912693854107e-05
36,3.289087710107726e-05,3.750234389649353e-05,2.8314174075542216e-05
37,3.2631294840538675e-05,3.750234389649353e-05,2.6207511072673427e-05
38,3.3120892436586946e-05,3.750234389649353e-05,2.5581990278843693e-05
39,3.309776105341062e-05,3.812137846904544e-05,2.728512960436562e-05
40,3.367924445624106e-05,3.812137846904544e-05,2.8270149549091113e-05
41,3.376879494047621e-05,3.812137846904544e-05,2.847704749971523e-05
42,3.4212415214639354e-05,3.8359737619394685e-05,2.7071658680527356e-05
43,3.4035648304214635e-05,3.8595137012736394e-05,2.490784098834313e-05
44,3.386638201143718e-05,3.865182436611008e-05,2.6860780574283487e-05
45,3.4449513926200257e-05,3.895142756982043e-05,2.77069710739222e-05
46,3.4584250280523655e-05,3.895142756982043e-05,2.908583229109101e-05
47,3.453261250197467e-05,3.89833151411196e-05,2.9388426837511388e-05
48,3.474502607027287e-05,3.89833151411196e-05,3.0099629774553773e-05
49,3.485236363370178e-05,3.908081913396905e-05,2.9253451907325064e-05
50,3.515101108254178e-05,3.908081913396905e-05,2.952726843239732e-05
51,3.543244266666578e-05,3.941974140649637e-05,3.0360992197225006e-05
52,3.497366126190852e-05,3.941974140649637e-05,2.9686804215526198e-05
53,3.56915240099883e-05,3.941974140649637e-05,3.081759068076058e-05
54,3.6045527950869876e-05,3.941974140649637e-05,3.101640767966254e-05
55,3.6353651966782925e-05,3.941974140649637e-05,3.1600568810238584e-05
56,3.634640281948615e-05,3.9690414764834295e-05,2.9984108422536055e-05
57,3.6537443198251705e-05,3.9690414764834295e-05,3.0603501040519036e-05
58,3.6564319631293856e-05,3.9690414764834295e-05,3.1236334103829574e-05
59,3.6683708407966674e-05,3.9690414764834295e-05,3.1564660206432876e-05
60,3.682896597379332e-05,3.9690414764834295e-05,3.166761669516752e-05
61,3.632782314774711e-05,3.9690414764834295e-05,3.064570500444363e-05
62,3.613523192727356e-05,3.9690414764834295e-05,2.9178338001867415e-05
63,3.5659776082918076e-05,3.9690414764834295e-05,2.8722426470588235e-05
64,3.603821120578625e-05,3.9690414764834295e-05,2.7288107842602195e-05
65,3.5935196894993854e-05,3.9690414764834295e-05,2.7966552003803452e-05
66,3.650570402329912e-05,3.9690414764834295e-05,3.130968408528758e-05
67,3.674851413251789e-05,3.9690414764834295e-05,3.153977165205324e-05
68,3.6645152996793144e-05,3.9690414764834295e-05,3.2114069173705e-05
69,3.6998484732313994e-05,3.9690414764834295e-05,3.294133148861877e-05
70,3.6575775426061945e-05,3.9690414764834295e-05,3.206258616820033e-05
71,3.668482394175899e-05,3.9690414764834295e-05,3.1484163465776714e-05
72,3.631706206236876e-05,3.9690414764834295e-05,3.0524098775983637e-05
73,3.626230926570486e-05,3.9690414764834295e-05,3.144357450554979e-05
74,3.6575622412195156e-05,3.9690414764834295e-05,3.173192866662436e-05
75,3.6893081354590125e-05,3.9690414764834295e-05,2.9753934957898182e-05
76,3.662975334112131e-05,3.9690414764834295e-05,3.1411967959792684e-05
77,3.6261800021433314e-05,3.9690414764834295e-05,2.9449876310519495e-05
78,3.616648688038551e-05,3.9690414764834295e-05,2.868123673492801e-05
79,3.636368654999694e-05,3.9690414764834295e-05,2.9229510113410498e-05
80,3.692519429161055e-05,3.9690414764834295e-05,2.8386510730101056e-05
81,3.690890613047173e-05,3.9690414764834295e-05,3.072291007404221e-05
82,3.626914164072978e-05,3.9690414764834295e-05,2.999850007499625e-05
83,3.623741152306646e-05,3.9690414764834295e-05,2.9392745870319205e-05
84,3.66978523452928e-05,3.9690414764834295e-05,2.9152819077604805e-05
85,3.676324011560955e-05,3.9690414764834295e-05,3.2041012495994874e-05
