Iteration,Avg,Max,Min
1,2.1560996016713537e-05,2.4060439824839997e-05,2.061175694616209e-05
2,2.2029898255248044e-05,2.4060439824839997e-05,2.1413734769481146e-05
3,2.2561198281073638e-05,2.4060439824839997e-05,2.1958235436200346e-05
4,2.308568371309213e-05,2.4290711232024873e-05,2.244971264367816e-05
5,2.343848465521584e-05,2.4800972198110166e-05,2.291580732389202e-05
6,2.3816565542980424e-05,2.492025518341308e-05,2.33781414377557e-05
7,2.4189575108654975e-05,2.5644313373509424e-05,2.3745072897373797e-05
8,2.461793611243266e-05,2.576522724930434e-05,2.4060439824839997e-05
9,2.4952124705904045e-05,2.5887286753475367e-05,2.4383107383204915e-05
10,2.530276857530973e-05,2.6076979242724522e-05,2.4846572415335305e-05
11,2.554202948351541e-05,2.7404768429706768e-05,2.5147742990066642e-05
12,2.584557124353137e-05,2.750804610348527e-05,2.5379422364346987e-05
13,2.6252350062070072e-05,2.752849198920883e-05,2.560753885944022e-05
14,2.673843572547807e-05,2.752849198920883e-05,2.6054558244964955e-05
15,2.710527897031135e-05,2.805678693676e-05,2.6650321136369694e-05
16,2.73933797627568e-05,2.805678693676e-05,2.7065064414853306e-05
17,2.75427116232562e-05,2.805678693676e-05,2.733285956376756e-05
18,2.765015654082691e-05,2.8146813780680027e-05,2.750804610348527e-05
19,2.7757571396451122e-05,2.8304557033682423e-05,2.761820592134335e-05
20,2.788165879383916e-05,2.8304557033682423e-05,2.7681660899653978e-05
21,2.802246623635051e-05,2.8582861716115017e-05,2.7797081306462822e-05
22,2.8079809392544405e-05,2.8582861716115017e-05,2.7950918187662463e-05
23,2.8197933995956884e-05,2.8786919223904658e-05,2.805678693676e-05
24,2.8321200417756862e-05,2.9008209323238475e-05,2.8146813780680027e-05
25,2.8449183977184688e-05,2.9008209323238475e-05,2.8219889378033637e-05
26,2.861773053582022e-05,2.9008209323238475e-05,2.846731951719426e-05
27,2.875336655061752e-05,2.9118863199580687e-05,2.8582861716115017e-05
28,2.8915794619311567e-05,2.921670026587197e-05,2.875215641173088e-05
29,2.8975563331116017e-05,2.921670026587197e-05,2.887919831345482e-05
