Iteration,Avg,Max,Min
1,2.1173304226882705e-05,2.4145257871354065e-05,1.864037131619662e-05
2,2.1794905877797733e-05,2.4145257871354065e-05,1.9545756616238615e-05
3,2.2466119987591607e-05,2.515659983396644e-05,1.9604767879548305e-05
4,2.2986922527512328e-05,2.6025400791172185e-05,2.004249007896741e-05
5,2.3531652476798003e-05,2.6260504201680674e-05,2.100266733875202e-05
6,2.4217658914562766e-05,2.759686499613644e-05,2.0768431983385256e-05
7,2.4978958050323296e-05,2.8427665804360803e-05,2.1992522542335606e-05
8,2.5697780039070382e-05,3.0017410097856757e-05,2.228759917981635e-05
9,2.646427043035242e-05,3.0017410097856757e-05,2.330622043023283e-05
10,2.7107294341372673e-05,3.0847060275155775e-05,2.392401732098854e-05
