Iteration,Avg,Max,Min
1,2.1266174629222503e-05,2.3784606602606793e-05,1.881467544684854e-05
2,2.1628554504646268e-05,2.4594800659140657e-05,1.926893654739195e-05
3,2.2024134871574105e-05,2.4594800659140657e-05,1.9253725595902806e-05
4,2.2377676505740695e-05,2.4594800659140657e-05,1.8980374292981057e-05
5,2.238560234053822e-05,2.6113069591330463e-05,1.9273021624330263e-05
6,2.2694034504834648e-05,2.6301946344029457e-05,1.9256691700365876e-05
7,2.3149560831068047e-05,2.785980943890344e-05,1.938773531863743e-05
8,2.34818742420528e-05,2.785980943890344e-05,1.9496977968414897e-05
9,2.386921666628986e-05,2.785980943890344e-05,2.07288255047469e-05
10,2.3849932176672703e-05,2.785980943890344e-05,2.0233903929424145e-05
11,2.3977133251463612e-05,2.889254861171304e-05,2.039442824220423e-05
12,2.4155207104403954e-05,2.889254861171304e-05,1.9963666127647682e-05
13,2.4525699584106645e-05,2.889254861171304e-05,2.0184893625610594e-05
14,2.4885519846588248e-05,2.889254861171304e-05,2.0294266869609337e-05
15,2.535169039880336e-05,2.991414639983248e-05,2.0125178610960174e-05
16,2.607261378682304e-05,3.0466441215001674e-05,2.0647505781301617e-05
17,2.6431982114189455e-05,3.0466441215001674e-05,2.246635663094516e-05
18,2.7002892155367435e-05,3.163555836760519e-05,2.374056312615735e-05
19,2.7367384464990013e-05,3.163555836760519e-05,2.2581009371118888e-05
20,2.737647368619748e-05,3.163555836760519e-05,2.2021096210169343e-05
21,2.7958131895221164e-05,3.2638140931492545e-05,2.39268794563813e-05
22,2.773255692473049e-05,3.2638140931492545e-05,2.2742779167614282e-05
23,2.7775215677186852e-05,3.2638140931492545e-05,2.2356860202553154e-05
24,2.7791248460985275e-05,3.290989271374975e-05,2.2002684327487954e-05
25,2.8077332458065718e-05,3.290989271374975e-05,2.209017208244052e-05
26,2.8379032694435484e-05,3.382377811601556e-05,2.3592695701410845e-05
27,2.888104399055181e-05,3.382377811601556e-05,2.4081298463613157e-05
28,2.8762454848357404e-05,3.382377811601556e-05,2.4216593209667264e-05
29,2.9187610859623285e-05,3.4451870736580995e-05,2.2826880934989044e-05
30,2.983088647089119e-05,3.4451870736580995e-05,2.4981888131104948e-05
31,3.072991530488709e-05,3.5683699685983445e-05,2.5678555838019668e-05
32,3.1501009675674143e-05,3.5683699685983445e-05,2.3820299659369715e-05
33,3.191757292886899e-05,3.57398141529664e-05,2.6310942721077695e-05
34,3.224638034522969e-05,3.6359669854197727e-05,2.6970898400625724e-05
35,3.201875233579046e-05,3.6359669854197727e-05,2.7172436280636923e-05
36,3.178184749195286e-05,3.638083457634518e-05,2.630678978244285e-05
37,3.240094037060204e-05,3.77230374589762e-05,2.6582312129509024e-05
38,3.252175181149138e-05,3.77230374589762e-05,2.65893802015475e-05
39,3.279429240414243e-05,3.77230374589762e-05,2.8192044205125312e-05
40,3.313337569362184e-05,3.77230374589762e-05,2.833824529585128e-05
41,3.286778443794366e-05,3.775437006833541e-05,2.5230862390876522e-05
42,3.2801204933317406e-05,3.775437006833541e-05,2.618555081306135e-05
43,3.2885939365495e-05,3.775437006833541e-05,2.7243502424671715e-05
44,3.313465632298074e-05,3.775437006833541e-05,2.8161081385525205e-05
45,3.298878876899843e-05,3.7772909269471935e-05,2.7156202476645665e-05
46,3.346816955941314e-05,3.7772909269471935e-05,2.729108673107363e-05
47,3.385155794679559e-05,3.827311696264544e-05,2.8735632183908045e-05
48,3.406361407533489e-05,3.827311696264544e-05,2.8472993365792545e-05
49,3.4481901194045025e-05,3.850893407270487e-05,2.9423014682084327e-05
50,3.483583654274313e-05,3.850893407270487e-05,2.8416356454775368e-05
51,3.4948545414336224e-05,3.8791264207300516e-05,2.9583173091145757e-05
52,3.515052398348086e-05,3.8791264207300516e-05,3.0622243998040176e-05
53,3.511227741585171e-05,3.90335298021e-05,2.929029612489382e-05
54,3.50928216333462e-05,3.90335298021e-05,2.9717682020802376e-05
55,3.4557656006438374e-05,3.90335298021e-05,2.8043411200538435e-05
56,3.408039684781928e-05,3.90335298021e-05,2.756947507719453e-05
57,3.399315994061844e-05,3.919570415082507e-05,2.8109627547434995e-05
58,3.453076677244531e-05,3.919570415082507e-05,2.7238307956309754e-05
59,3.45395403332177e-05,3.919570415082507e-05,2.8319787035201494e-05
60,3.381748136666072e-05,3.919570415082507e-05,2.776543758329631e-05
61,3.404588940675466e-05,3.919570415082507e-05,2.805285157236233e-05
62,3.471630885235536e-05,3.919570415082507e-05,2.8279743219931563e-05
63,3.516761747295904e-05,3.919570415082507e-05,2.8609847509512775e-05
64,3.582370809998122e-05,3.919570415082507e-05,3.019141356198297e-05
65,3.60253089020538e-05,3.937007874015748e-05,3.0857530780386954e-05
66,3.6224674402271906e-05,3.937472929873607e-05,3.089661990978187e-05
67,3.652646655314791e-05,3.956009177941293e-05,3.0803351404632826e-05
68,3.611733407708795e-05,3.956009177941293e-05,3.070027323243177e-05
69,3.602070861567395e-05,3.956009177941293e-05,2.875215641173088e-05
70,3.617369653095054e-05,3.956009177941293e-05,3.101256008683517e-05
71,3.584267153034006e-05,3.956009177941293e-05,2.8362357479153667e-05
72,3.628387727188857e-05,3.956009177941293e-05,3.149804712107849e-05
73,3.622934209449474e-05,3.973773097556129e-05,2.8666437335167985e-05
74,3.6743505335434864e-05,3.973773097556129e-05,3.049803287687944e-05
75,3.708853621831995e-05,3.973773097556129e-05,3.1890805880664604e-05
76,3.709586297770524e-05,3.973773097556129e-05,3.264879689183453e-05
77,3.6741607813320284e-05,3.973773097556129e-05,3.135877575339459e-05
78,3.6623218763227414e-05,3.973773097556129e-05,3.153380423814329e-05
79,3.658017492286823e-05,3.973773097556129e-05,3.130576339104029e-05
80,3.675806690186099e-05,3.973773097556129e-05,3.094442381482857e-05
81,3.657722569857104e-05,3.973773097556129e-05,3.045901739209893e-05
82,3.652926773769828e-05,3.973773097556129e-05,3.082329007798292e-05
83,3.5763681128301537e-05,3.973773097556129e-05,2.87364579441938e-05
84,3.6054409963949064e-05,3.973773097556129e-05,2.924489676551442e-05
85,3.583590222451185e-05,3.973773097556129e-05,3.0013806350921424e-05
86,3.6043855987646765e-05,3.973773097556129e-05,2.9721215003269334e-05
87,3.634785324699256e-05,3.973773097556129e-05,3.0230659935306387e-05
88,3.6315580435008075e-05,3.973773097556129e-05,3.067108330266225e-05
89,3.65407265175845e-05,3.973773097556129e-05,3.131360576170346e-05
90,3.637249567189835e-05,3.973773097556129e-05,2.9679755438815183e-05
91,3.6762968009099735e-05,3.973773097556129e-05,3.2923978533565994e-05
92,3.703889615443515e-05,3.973773097556129e-05,3.150896430034345e-05
93,3.6155595637623075e-05,3.973773097556129e-05,2.916897587725695e-05
94,3.664173091294008e-05,3.973773097556129e-05,2.872407652093985e-05
95,3.668074601587816e-05,3.973773097556129e-05,3.12656328164082e-05
96,3.6543602180001405e-05,3.973773097556129e-05,2.888086642599278e-05
97,3.6641192710311756e-05,3.973773097556129e-05,2.8557557757660565e-05
98,3.683474767622518e-05,3.973773097556129e-05,3.0079711234772145e-05
99,3.66198262277756e-05,3.973773097556129e-05,3.024711896191888e-05
100,3.589271006254632e-05,3.973773097556129e-05,2.9498525073746314e-05
101,3.628408704523557e-05,3.973773097556129e-05,3.1145856043853365e-05
102,3.6074826582560015e-05,3.973773097556129e-05,2.8847540747151304e-05
103,3.557328162620476e-05,3.973773097556129e-05,2.817298211015636e-05
104,3.580523463616652e-05,3.973773097556129e-05,2.8524973614399406e-05
105,3.647744648738109e-05,3.973773097556129e-05,2.957617343468102e-05
106,3.6503478849179776e-05,3.973773097556129e-05,3.0078806472959153e-05
107,3.629984587632773e-05,3.973773097556129e-05,2.9091755396520627e-05
108,3.680487899013995e-05,3.973773097556129e-05,2.993295019157088e-05
109,3.7188265865823616e-05,3.973773097556129e-05,3.0120481927710842e-05
110,3.696089384457582e-05,3.973773097556129e-05,3.21285140562249e-05
111,3.727746103859219e-05,3.973773097556129e-05,3.335445782328808e-05
112,3.693324333475738e-05,3.973773097556129e-05,3.0562347188264056e-05
113,3.669266026135111e-05,3.973773097556129e-05,3.0294768093550245e-05
114,3.6619353239053604e-05,3.973773097556129e-05,2.9862334637321945e-05
