Iteration,Avg,Max,Min
1,2.1519591121818783e-05,2.4244775250933423e-05,2.078699565551791e-05
2,2.205503807939992e-05,2.4244775250933423e-05,2.144082332761578e-05
3,2.253290167004501e-05,2.460811575657652e-05,2.1891897808621028e-05
4,2.3043378714949787e-05,2.511868579035945e-05,2.236636099306643e-05
5,2.3571201481877476e-05,2.6228132294699294e-05,2.2948411969891684e-05
6,2.405205322330615e-05,2.6228132294699294e-05,2.344995779007598e-05
7,2.4561001464474417e-05,2.6420079260237782e-05,2.390857361449816e-05
8,2.5067234577963952e-05,2.671867902850883e-05,2.443195699975568e-05
9,2.5617650251077215e-05,2.7072391575071743e-05,2.500812764148348e-05
10,2.608212566834045e-05,2.8385704958982655e-05,2.556237218813906e-05
11,2.6592842546467435e-05,2.8385704958982655e-05,2.5990227674394427e-05
12,2.702396559209486e-05,2.8385704958982655e-05,2.6476039184537995e-05
13,2.752214928896346e-05,2.945074363127669e-05,2.6992738953221582e-05
14,2.7945401273149123e-05,2.969914763446289e-05,2.7377758309149647e-05
15,2.833953986467946e-05,3.000570108320581e-05,2.7898672023211696e-05
16,2.8663591284685486e-05,3.0358227079538556e-05,2.8215908129003132e-05
17,2.901041358073397e-05,3.050919852335479e-05,2.856489945155393e-05
18,2.9333616476417663e-05,3.107616768700084e-05,2.8922631959508316e-05
19,2.9665248541381433e-05,3.1436655139893116e-05,2.928000468480075e-05
20,2.993799591727705e-05,3.1436655139893116e-05,2.959367879021041e-05
21,3.022018799501129e-05,3.1436655139893116e-05,2.9818702290076335e-05
22,3.05697790253719e-05,3.1436655139893116e-05,3.016045361322234e-05
23,3.088954742903245e-05,3.17017499365965e-05,3.0514784413048123e-05
24,3.114496707574432e-05,3.225286244154169e-05,3.085277057879798e-05
25,3.138814974358576e-05,3.249707526322631e-05,3.112743572184524e-05
26,3.161787157043382e-05,3.266052648768698e-05,3.134796238244514e-05
27,3.184452769328668e-05,3.2801941874959e-05,3.152187618207036e-05
28,3.2099131726984645e-05,3.2801941874959e-05,3.175207976122436e-05
29,3.233673359052895e-05,3.299132328197684e-05,3.208830702092157e-05
30,3.2532077537955473e-05,3.350308228357009e-05,3.2325844512687896e-05
31,3.269167886109444e-05,3.350308228357009e-05,3.249707526322631e-05
32,3.284204926235779e-05,3.3829499323410016e-05,3.262429857758058e-05
33,3.302208231707489e-05,3.3829499323410016e-05,3.2801941874959e-05
34,3.3226427831995034e-05,3.4030968181044753e-05,3.297391763115376e-05
35,3.342662781628095e-05,3.41040856694632e-05,3.3245786096612254e-05
36,3.360625930772105e-05,3.421376762009033e-05,3.342245989304813e-05
37,3.3796905222407666e-05,3.45435075477564e-05,3.351318743925735e-05
38,3.400488357380423e-05,3.467526613266757e-05,3.378834977699689e-05
39,3.422618224169185e-05,3.487358326068003e-05,3.397662408263115e-05
40,3.442326826339934e-05,3.490279571393669e-05,3.417985439382028e-05
41,3.453902186727496e-05,3.490279571393669e-05,3.439144340887987e-05
42,3.4661339094154766e-05,3.507910337811766e-05,3.45435075477564e-05
43,3.476068652789834e-05,3.528208023145045e-05,3.467526613266757e-05
44,3.485895783147848e-05,3.528208023145045e-05,3.469090404495941e-05
45,3.494623573433112e-05,3.528208023145045e-05,3.487358326068003e-05
46,3.5017512971615794e-05,3.528208023145045e-05,3.487358326068003e-05
47,3.515407214743947e-05,3.528208023145045e-05,3.494426389908096e-05
48,3.5230113216199504e-05,3.528208023145045e-05,3.507910337811766e-05
49,3.528208023145041e-05,3.528208023145045e-05,3.528208023145045e-05
50,3.528208023145041e-05,3.528208023145045e-05,3.528208023145045e-05
51,3.528208023145041e-05,3.528208023145045e-05,3.528208023145045e-05
52,3.528208023145041e-05,3.528208023145045e-05,3.528208023145045e-05
53,3.528208023145041e-05,3.528208023145045e-05,3.528208023145045e-05
54,3.528208023145041e-05,3.528208023145045e-05,3.528208023145045e-05
55,3.528208023145041e-05,3.528208023145045e-05,3.528208023145045e-05
56,3.528208023145041e-05,3.528208023145045e-05,3.528208023145045e-05
57,3.528208023145041e-05,3.528208023145045e-05,3.528208023145045e-05
58,3.528208023145041e-05,3.528208023145045e-05,3.528208023145045e-05
59,3.528208023145041e-05,3.528208023145045e-05,3.528208023145045e-05
60,3.528208023145041e-05,3.528208023145045e-05,3.528208023145045e-05
61,3.528208023145041e-05,3.528208023145045e-05,3.528208023145045e-05
62,3.528208023145041e-05,3.528208023145045e-05,3.528208023145045e-05
63,3.528208023145041e-05,3.528208023145045e-05,3.528208023145045e-05
