Iteration,Avg,Max,Min
1,2.1051812585685353e-05,2.2085781174080127e-05,2.0671834625323e-05
2,2.1336453961835672e-05,2.2378373539811128e-05,2.1009727503834276e-05
3,2.1602588947160986e-05,2.2560631697687534e-05,2.1306515532449825e-05
4,2.1878646613197688e-05,2.2675736961451248e-05,2.1546616103940875e-05
5,2.2149081400036838e-05,2.284148012791229e-05,2.185123678000175e-05
6,2.237655835247812e-05,2.2882771561291503e-05,2.2120957395036058e-05
7,2.260567452320389e-05,2.3578232575686127e-05,2.2337383845604003e-05
8,2.282689807252133e-05,2.358880003774208e-05,2.2593764121102576e-05
9,2.3053860939176102e-05,2.4007874582863178e-05,2.2775930396756706e-05
10,2.3278001218561225e-05,2.4007874582863178e-05,2.301125250247371e-05
11,2.348852075582235e-05,2.4129527302560142e-05,2.3224487900041803e-05
12,2.3701464887489987e-05,2.4319657579221285e-05,2.345050770349178e-05
13,2.38888119354721e-05,2.4721878862793572e-05,2.368153077414924e-05
14,2.4050859186781487e-05,2.4721878862793572e-05,2.3845291747144526e-05
15,2.4245991018589517e-05,2.4996875390576178e-05,2.4010756819054938e-05
16,2.4408167303181238e-05,2.4996875390576178e-05,2.4203112520270108e-05
17,2.4569224601331502e-05,2.5101031652400914e-05,2.438132390588809e-05
18,2.473914951374392e-05,2.5501096547151528e-05,2.452783909737552e-05
19,2.490757354363109e-05,2.557217747091165e-05,2.4696236293588858e-05
20,2.5054221624997188e-05,2.5747978783665482e-05,2.485645397827546e-05
21,2.526768139203493e-05,2.5804453848734292e-05,2.5050727723640373e-05
22,2.542083862351531e-05,2.5848476232326104e-05,2.523468254769355e-05
23,2.553690499713414e-05,2.5848476232326104e-05,2.538264334847831e-05
24,2.5651262891936646e-05,2.6132859457481837e-05,2.5510204081632654e-05
25,2.5791420465146533e-05,2.638104785522081e-05,2.562394301235074e-05
26,2.593276450240494e-05,2.7046763854704784e-05,2.5749967812540233e-05
27,2.6093139778914025e-05,2.716579283366385e-05,2.5901367592208867e-05
28,2.6290808506580886e-05,2.7311211252219036e-05,2.6064065472932468e-05
29,2.6508786355928744e-05,2.7666343892654586e-05,2.6231572320444888e-05
30,2.674921574208866e-05,2.7907236346384618e-05,2.6457826224997355e-05
31,2.6978835213820487e-05,2.8066236317709794e-05,2.6743688489516474e-05
32,2.717324403878765e-05,2.8066236317709794e-05,2.6926598093596855e-05
33,2.7352509291993166e-05,2.8066236317709794e-05,2.7159890274043293e-05
34,2.7500296459822116e-05,2.8071751396569632e-05,2.7311211252219036e-05
35,2.765795572392166e-05,2.822785524755829e-05,2.745442565341533e-05
36,2.778312360949724e-05,2.835753176043557e-05,2.76464571065218e-05
37,2.7903965065632575e-05,2.844141069397042e-05,2.7759271596713303e-05
38,2.8014269329700767e-05,2.844141069397042e-05,2.787223368080718e-05
39,2.812416975899797e-05,2.866890284108827e-05,2.7994736989445986e-05
40,2.8206549981490885e-05,2.866890284108827e-05,2.8067024053439613e-05
41,2.8321592085097963e-05,2.866890284108827e-05,2.819124943617501e-05
42,2.842314431737656e-05,2.8674657337844814e-05,2.8278143822639483e-05
43,2.851227291912691e-05,2.8686996184629507e-05,2.8418779129248607e-05
44,2.858500739751523e-05,2.8686996184629507e-05,2.844141069397042e-05
45,2.864839374675549e-05,2.8686996184629507e-05,2.862376917792535e-05
46,2.8661423857214953e-05,2.8686996184629507e-05,2.8640164967350212e-05
47,2.8673413011044792e-05,2.8689465228368144e-05,2.866890284108827e-05
48,2.8678568980733472e-05,2.8689465228368144e-05,2.866890284108827e-05
49,2.8683837189360046e-05,2.8689465228368144e-05,2.867712425797941e-05
50,2.868753937425205e-05,2.8689465228368144e-05,2.8686996184629507e-05
51,2.868815663518669e-05,2.8689465228368144e-05,2.8686996184629507e-05
52,2.8689329430962512e-05,2.8689465228368144e-05,2.8686996184629507e-05
53,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
54,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
55,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
56,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
57,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
58,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
59,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
60,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
61,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
62,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
63,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
64,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
65,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
66,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
67,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
68,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
69,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
70,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
71,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
72,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
73,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
74,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
75,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
76,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
77,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
78,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
79,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
80,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
81,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
82,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
83,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
84,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
85,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
86,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
87,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
88,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
89,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
90,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
91,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
92,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
93,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
94,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
95,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
96,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
97,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
98,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
99,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
100,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
101,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
102,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
103,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
104,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
105,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
106,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
107,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
108,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
109,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
110,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
111,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
112,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
113,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
114,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
115,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
116,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
117,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
118,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
119,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
120,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
121,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
122,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
123,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
124,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
125,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
126,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
127,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
128,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
129,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
130,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
131,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
132,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
133,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
134,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
135,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
136,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
137,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
138,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
139,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
140,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
141,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
142,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
143,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
144,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
145,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
146,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
147,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
148,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
149,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
150,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
151,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
152,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
153,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
154,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
155,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
156,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
157,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
158,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
159,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
160,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
161,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
162,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
163,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
164,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
165,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
166,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
167,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
168,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
169,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
170,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
171,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
172,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
173,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
174,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
175,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
176,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
177,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
178,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
179,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
180,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
181,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
182,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
183,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
184,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
185,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
186,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
187,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
188,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
189,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
190,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
191,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
192,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
193,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
194,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
195,2.868946522836813e-05,2.8689465228368144e-05,2.8689465228368144e-05
