Iteration,Avg,Max,Min
1,2.13428776832382e-05,2.510418235678064e-05,1.9207498607456353e-05
2,2.1960130962550357e-05,2.510418235678064e-05,1.9573685137700873e-05
3,2.2659901763258433e-05,2.6184865147944487e-05,2.0174306003873465e-05
4,2.3475068879821312e-05,2.6331727097980358e-05,1.99568931108805e-05
5,2.424806216876902e-05,2.695926455126304e-05,2.1373915273799856e-05
6,2.500927888826731e-05,2.8749676566138632e-05,2.1565667457407806e-05
7,2.5865159058065954e-05,2.9970628783791882e-05,2.2916332470151475e-05
8,2.6345247860334192e-05,2.9970628783791882e-05,2.3599933920185024e-05
9,2.7049551232076662e-05,3.068990915786889e-05,2.414467489195258e-05
10,2.793349439651078e-05,3.08708671626586e-05,2.472493509704537e-05
11,2.8563133267829366e-05,3.188063888800331e-05,2.580045924817462e-05
12,2.9179786257484135e-05,3.246753246753247e-05,2.5801124929046907e-05
13,3.007040692916201e-05,3.372453797382976e-05,2.609875769913352e-05
14,3.073234808559442e-05,3.444356422002549e-05,2.7731558513588462e-05
15,3.132695521311934e-05,3.4818941504178274e-05,2.8516839193543787e-05
16,3.208270717128999e-05,3.494426389908096e-05,2.8857530372550716e-05
17,3.2819351986826905e-05,3.544088460447973e-05,2.961208172934557e-05
18,3.358734320997827e-05,3.654302941713868e-05,3.073896471166851e-05
19,3.412651197623171e-05,3.65884892612784e-05,3.179448047818899e-05
20,3.456033229533918e-05,3.712503712503712e-05,3.1940718027341254e-05
21,3.5229840102292044e-05,3.764351590438547e-05,3.280517009480694e-05
22,3.569517805713844e-05,3.829216925138809e-05,3.3294489761944396e-05
23,3.616830115950062e-05,3.902134467553752e-05,3.37006706433458e-05
24,3.673302896506171e-05,3.902134467553752e-05,3.416584099217602e-05
25,3.729632091177491e-05,3.9571049819951724e-05,3.5369433735365894e-05
26,3.777228926313565e-05,3.9571049819951724e-05,3.542456339225619e-05
27,3.826118883556784e-05,4.032583272844584e-05,3.5893754486719313e-05
28,3.8639722628410724e-05,4.032583272844584e-05,3.6411302068161955e-05
29,3.9088594877079585e-05,4.0538349278417384e-05,3.730925642651942e-05
30,3.942104335296513e-05,4.0791352233326534e-05,3.745178083217857e-05
31,3.980885177043815e-05,4.1072822113607424e-05,3.790175864160097e-05
32,4.0185156759399436e-05,4.139586869230451e-05,3.9004602543100085e-05
33,4.05039205104795e-05,4.178505766337958e-05,3.908845717859516e-05
34,4.076885192711553e-05,4.1999160016799665e-05,3.968726435686788e-05
35,4.1021777612042614e-05,4.1999160016799665e-05,4.003362824772809e-05
36,4.12255985071973e-05,4.223151315511635e-05,4.0404040404040405e-05
37,4.1438175191617044e-05,4.243401510650938e-05,4.0513713892152495e-05
38,4.167785290630396e-05,4.243401510650938e-05,4.077638231936063e-05
39,4.1829754555178e-05,4.243401510650938e-05,4.116581590647127e-05
40,4.1971036870650245e-05,4.243401510650938e-05,4.139586869230451e-05
41,4.207812675405426e-05,4.243401510650938e-05,4.161118508655127e-05
42,4.218716336029898e-05,4.243401510650938e-05,4.1823504809703055e-05
43,4.22706169979006e-05,4.243401510650938e-05,4.1999160016799665e-05
44,4.233420072406019e-05,4.243401510650938e-05,4.1999160016799665e-05
45,4.237960399786716e-05,4.243401510650938e-05,4.20539131166155e-05
46,4.242317440700254e-05,4.243401510650938e-05,4.20539131166155e-05
47,4.243401510650911e-05,4.243401510650938e-05,4.243401510650938e-05
48,4.243401510650911e-05,4.243401510650938e-05,4.243401510650938e-05
49,4.243401510650911e-05,4.243401510650938e-05,4.243401510650938e-05
