Iteration,Avg,Max,Min
1,2.1077966705542904e-05,2.388230798624379e-05,1.8699627877405238e-05
2,2.1683599288563435e-05,2.4814511526340603e-05,1.866368047779022e-05
3,2.2334266708004596e-05,2.4814511526340603e-05,1.93229247178853e-05
4,2.2834592054753536e-05,2.5707601737833877e-05,2.0032051282051282e-05
5,2.3617554454771047e-05,2.7403266469363148e-05,2.051955513604465e-05
6,2.430245317685886e-05,2.9184298847220195e-05,2.173629526583489e-05
7,2.4782641589730665e-05,2.9184298847220195e-05,2.1861746316295747e-05
8,2.551767474598002e-05,2.926972047416947e-05,2.2092612230470132e-05
9,2.6033648301353874e-05,3.038774766014343e-05,2.219509488403063e-05
10,2.6662749904765136e-05,3.038774766014343e-05,2.3090422092915857e-05
