Iteration,Avg,Max,Min
1,2.1028200587104018e-05,2.2276180080639773e-05,2.03719925845947e-05
2,2.1666544525942043e-05,2.284408909194746e-05,2.090738030524775e-05
3,2.2132563902505075e-05,2.342688469287354e-05,2.166706389617143e-05
4,2.2461373795236934e-05,2.3512814483893722e-05,2.2088220352086234e-05
5,2.272982588855081e-05,2.4146423914618244e-05,2.232242510826376e-05
6,2.3029742186131708e-05,2.4146423914618244e-05,2.2619828541699653e-05
7,2.3258199920412788e-05,2.4146423914618244e-05,2.284408909194746e-05
8,2.3535520765982906e-05,2.4146423914618244e-05,2.3208856499640263e-05
9,2.3855664579813498e-05,2.482560015888384e-05,2.346151139056378e-05
10,2.4041896443918282e-05,2.482560015888384e-05,2.3729859281934458e-05
11,2.4187161383632275e-05,2.5191455058444177e-05,2.3892578964973478e-05
12,2.4411772559606092e-05,2.5191455058444177e-05,2.4146423914618244e-05
13,2.469693724737443e-05,2.533826584908529e-05,2.423654871546292e-05
14,2.4894012553911462e-05,2.5409086289257037e-05,2.4583312847239293e-05
15,2.502256793756678e-05,2.5409086289257037e-05,2.4823135161970957e-05
16,2.509559245298278e-05,2.5409086289257037e-05,2.5e-05
17,2.5159441841427087e-05,2.5458248472505093e-05,2.5018138150158864e-05
18,2.52794491925123e-05,2.5751957148743305e-05,2.511868579035945e-05
19,2.536799110840403e-05,2.5751957148743305e-05,2.5232772324695315e-05
20,2.5457439020138216e-05,2.5751957148743305e-05,2.533826584908529e-05
21,2.550521786455754e-05,2.579513503753192e-05,2.5409086289257037e-05
22,2.563520743481651e-05,2.611716158687874e-05,2.5458248472505093e-05
23,2.5745581688186183e-05,2.611716158687874e-05,2.560491614389963e-05
24,2.579083844168821e-05,2.621438120953155e-05,2.564168312008e-05
25,2.584876997850668e-05,2.621438120953155e-05,2.5751957148743305e-05
26,2.5924022712410424e-05,2.621438120953155e-05,2.579513503753192e-05
27,2.6008836090749354e-05,2.6544209380723594e-05,2.5957170668397145e-05
28,2.606575229225081e-05,2.6544209380723594e-05,2.5957170668397145e-05
29,2.617614956422425e-05,2.6544209380723594e-05,2.5957170668397145e-05
30,2.6420164256854288e-05,2.662548591511795e-05,2.6070180927055635e-05
31,2.653325815654931e-05,2.662548591511795e-05,2.6290191129689513e-05
32,2.6570738129083532e-05,2.6946914578280787e-05,2.6544209380723594e-05
33,2.6596459391034308e-05,2.7021184608733246e-05,2.6544209380723594e-05
34,2.662364021709044e-05,2.7021184608733246e-05,2.6544209380723594e-05
35,2.6701115858507166e-05,2.7021184608733246e-05,2.6544209380723594e-05
36,2.6805299034198396e-05,2.725538293813028e-05,2.662548591511795e-05
37,2.687830304191978e-05,2.725538293813028e-05,2.667164537380311e-05
38,2.6987525176408893e-05,2.725538293813028e-05,2.6852846401718583e-05
39,2.7038771791953268e-05,2.725538293813028e-05,2.6946914578280787e-05
40,2.7118515398959236e-05,2.7352297592997813e-05,2.6946914578280787e-05
41,2.7219042118130867e-05,2.7352297592997813e-05,2.7021184608733246e-05
42,2.7265074403617057e-05,2.7352297592997813e-05,2.725538293813028e-05
43,2.7265074403617057e-05,2.7352297592997813e-05,2.725538293813028e-05
44,2.7267012696714412e-05,2.7352297592997813e-05,2.725538293813028e-05
45,2.7280580748395865e-05,2.7352297592997813e-05,2.725538293813028e-05
46,2.7299963679369364e-05,2.7352297592997813e-05,2.725538293813028e-05
47,2.7327099782732252e-05,2.7352297592997813e-05,2.725538293813028e-05
48,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
49,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
50,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
51,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
52,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
53,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
54,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
55,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
56,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
57,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
58,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
59,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
60,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
61,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
62,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
63,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
64,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
65,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
66,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
67,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
68,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
69,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
70,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
71,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
72,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
73,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
74,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
75,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
76,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
77,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
78,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
79,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
80,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
81,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
82,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
83,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
84,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
85,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
86,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
87,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
88,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
89,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
90,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
91,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
92,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
93,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
94,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
95,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
96,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
97,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
98,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
99,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
100,2.7352297592997793e-05,2.7352297592997813e-05,2.7352297592997813e-05
