Iteration,Avg,Max,Min
1,2.1516572925496367e-05,2.4456455281371517e-05,2.0647505781301617e-05
2,2.2213904266670616e-05,2.4646325232907772e-05,2.1471668133897324e-05
3,2.2807937213910937e-05,2.4646325232907772e-05,2.2067261011563244e-05
4,2.349949385872777e-05,2.538908777007642e-05,2.2697868670131875e-05
5,2.417028960096297e-05,2.6891841015435916e-05,2.342084923999344e-05
6,2.4838770898991132e-05,2.6949093163015065e-05,2.4182627200619074e-05
7,2.5397487241233597e-05,2.6949093163015065e-05,2.4748799683215366e-05
8,2.5897827513417927e-05,2.797046319087044e-05,2.528061482455253e-05
9,2.6421910952166327e-05,2.820078962210942e-05,2.5801790644270712e-05
10,2.6957407866225958e-05,2.86221306314042e-05,2.6431252312734577e-05
11,2.737404704489722e-05,2.9025048616956432e-05,2.6911380822950025e-05
12,2.77138098797346e-05,2.9025048616956432e-05,2.7320911425605157e-05
13,2.8042852690838687e-05,2.978850163836759e-05,2.763728822927894e-05
14,2.840026239388309e-05,2.978850163836759e-05,2.7979854504756576e-05
15,2.8785094795931724e-05,2.9865010154103452e-05,2.8388928317955997e-05
16,2.9149691941685523e-05,3.070781513895286e-05,2.8771182783324222e-05
17,2.9547436166137282e-05,3.165759149043941e-05,2.908667830133799e-05
18,2.9951779198984298e-05,3.195296523517383e-05,2.9464627714428828e-05
19,3.0346465911184162e-05,3.2384468408951065e-05,2.980892479208275e-05
20,3.078745222878785e-05,3.2755740443512724e-05,3.0328763799587527e-05
21,3.117644806093764e-05,3.3053480531499964e-05,3.070781513895286e-05
22,3.148688456439961e-05,3.3053480531499964e-05,3.1061688513387586e-05
23,3.1817956536192434e-05,3.3053480531499964e-05,3.140604880499984e-05
24,3.216063922562202e-05,3.406690740614567e-05,3.168367023636018e-05
25,3.256337471420931e-05,3.444831031037927e-05,3.202767190852897e-05
26,3.2929713091270476e-05,3.444949703734326e-05,3.250975292587776e-05
27,3.324015591282246e-05,3.46476335666274e-05,3.2875271220987576e-05
28,3.355467285606657e-05,3.46476335666274e-05,3.3088478591754354e-05
29,3.39099721105157e-05,3.471740036106096e-05,3.352329869259135e-05
30,3.421151820452034e-05,3.475842891901286e-05,3.383178834833209e-05
31,3.4500228904328406e-05,3.528955076401878e-05,3.4233679093492176e-05
32,3.469159118210937e-05,3.570026061190247e-05,3.444949703734326e-05
33,3.4866334013135063e-05,3.570026061190247e-05,3.462004500605851e-05
34,3.504321111285627e-05,3.570026061190247e-05,3.482136639041716e-05
35,3.527730063007673e-05,3.579354284487079e-05,3.4965034965034965e-05
36,3.551973430776737e-05,3.5923411287135827e-05,3.528955076401878e-05
37,3.567844808202959e-05,3.601397342168761e-05,3.550505947097461e-05
38,3.574360502176251e-05,3.601397342168761e-05,3.570026061190247e-05
39,3.579015771521957e-05,3.601397342168761e-05,3.570026061190247e-05
40,3.586495456194755e-05,3.603993224492738e-05,3.581533612692955e-05
41,3.591446463374689e-05,3.603993224492738e-05,3.581533612692955e-05
42,3.595770502479387e-05,3.624107563512485e-05,3.590922148807814e-05
43,3.601254616739233e-05,3.624107563512485e-05,3.5923411287135827e-05
44,3.607058183083257e-05,3.624107563512485e-05,3.601397342168761e-05
45,3.612175152221075e-05,3.624107563512485e-05,3.601397342168761e-05
46,3.622521509361063e-05,3.624107563512485e-05,3.610890445583881e-05
47,3.624107563512495e-05,3.624107563512485e-05,3.624107563512485e-05
48,3.624107563512495e-05,3.624107563512485e-05,3.624107563512485e-05
49,3.624107563512495e-05,3.624107563512485e-05,3.624107563512485e-05
50,3.624107563512495e-05,3.624107563512485e-05,3.624107563512485e-05
51,3.624107563512495e-05,3.624107563512485e-05,3.624107563512485e-05
52,3.624107563512495e-05,3.624107563512485e-05,3.624107563512485e-05
53,3.624107563512495e-05,3.624107563512485e-05,3.624107563512485e-05
54,3.624107563512495e-05,3.624107563512485e-05,3.624107563512485e-05
55,3.624107563512495e-05,3.624107563512485e-05,3.624107563512485e-05
56,3.624107563512495e-05,3.624107563512485e-05,3.624107563512485e-05
57,3.624107563512495e-05,3.624107563512485e-05,3.624107563512485e-05
58,3.624107563512495e-05,3.624107563512485e-05,3.624107563512485e-05
59,3.624107563512495e-05,3.624107563512485e-05,3.624107563512485e-05
60,3.624107563512495e-05,3.624107563512485e-05,3.624107563512485e-05
61,3.624107563512495e-05,3.624107563512485e-05,3.624107563512485e-05
62,3.624107563512495e-05,3.624107563512485e-05,3.624107563512485e-05
63,3.624107563512495e-05,3.624107563512485e-05,3.624107563512485e-05
