Iteration,Avg,Max,Min
1,2.1730677987752888e-05,2.3690507213759446e-05,2.0904320923134813e-05
2,2.2251489995685558e-05,2.3690507213759446e-05,2.1683977708870914e-05
3,2.2837518240450897e-05,2.4480403437048643e-05,2.221580432319552e-05
4,2.3426142721547863e-05,2.53613999492772e-05,2.2794100886690524e-05
5,2.3824639975605585e-05,2.53613999492772e-05,2.32904788522452e-05
6,2.4153551408912245e-05,2.5865190626454916e-05,2.3578232575686127e-05
7,2.455499807401429e-05,2.5865190626454916e-05,2.3941200411788646e-05
8,2.4950951995216603e-05,2.5865190626454916e-05,2.4290121207704826e-05
9,2.5332766104475825e-05,2.6291573550677007e-05,2.4802202435576278e-05
10,2.5599630098466367e-05,2.68802752540186e-05,2.5199707683390872e-05
11,2.5837743618914604e-05,2.68802752540186e-05,2.5469920024451123e-05
12,2.6069778053927378e-05,2.7001485081679493e-05,2.5804453848734292e-05
13,2.6278552827992356e-05,2.738525577828897e-05,2.592823065753993e-05
14,2.6551710775443348e-05,2.7932180665344545e-05,2.614515791675382e-05
15,2.679475113094839e-05,2.7932180665344545e-05,2.6432649608796785e-05
16,2.703341947400677e-05,2.8074903843454337e-05,2.6668088964744787e-05
17,2.7325422086417484e-05,2.813493514897448e-05,2.690052187012428e-05
18,2.771465336133075e-05,2.846002789082733e-05,2.72234775270193e-05
19,2.7985353822034148e-05,2.8597574925646306e-05,2.7693159789531986e-05
20,2.8239102538080737e-05,2.9300594802074484e-05,2.7997872161715708e-05
21,2.8454183997567527e-05,2.9300594802074484e-05,2.813493514897448e-05
22,2.8650004480965134e-05,2.957442403809186e-05,2.8413934193328408e-05
23,2.8857250047049382e-05,2.957442403809186e-05,2.8519279032626055e-05
24,2.908316754878824e-05,2.9667428130655354e-05,2.869275794789395e-05
25,2.92669465792659e-05,2.9887324785558443e-05,2.899391127863149e-05
26,2.9508669675416462e-05,2.9887324785558443e-05,2.9223530786989683e-05
27,2.9645730803248667e-05,3.0025521693439423e-05,2.9525524816203607e-05
28,2.9694616420934886e-05,3.0025521693439423e-05,2.958930050893597e-05
29,2.9750009858702018e-05,3.0025521693439423e-05,2.9667428130655354e-05
30,2.981262399930257e-05,3.0025521693439423e-05,2.9734471172430198e-05
31,2.9905762140993764e-05,3.0025521693439423e-05,2.9803594313474206e-05
32,2.9954082116595927e-05,3.0025521693439423e-05,2.9803594313474206e-05
33,3.0025521693439446e-05,3.0025521693439423e-05,3.0025521693439423e-05
34,3.0025521693439446e-05,3.0025521693439423e-05,3.0025521693439423e-05
35,3.0025521693439446e-05,3.0025521693439423e-05,3.0025521693439423e-05
36,3.0025521693439446e-05,3.0025521693439423e-05,3.0025521693439423e-05
37,3.0025521693439446e-05,3.0025521693439423e-05,3.0025521693439423e-05
38,3.0025521693439446e-05,3.0025521693439423e-05,3.0025521693439423e-05
39,3.0025521693439446e-05,3.0025521693439423e-05,3.0025521693439423e-05
40,3.0025521693439446e-05,3.0025521693439423e-05,3.0025521693439423e-05
41,3.0025521693439446e-05,3.0025521693439423e-05,3.0025521693439423e-05
42,3.0025521693439446e-05,3.0025521693439423e-05,3.0025521693439423e-05
43,3.0025521693439446e-05,3.0025521693439423e-05,3.0025521693439423e-05
44,3.0025521693439446e-05,3.0025521693439423e-05,3.0025521693439423e-05
45,3.0025521693439446e-05,3.0025521693439423e-05,3.0025521693439423e-05
