Iteration,Avg,Max,Min
1,2.111999380224803e-05,2.3297532791277403e-05,1.8799112681881415e-05
2,2.14075118263942e-05,2.3784606602606793e-05,1.855907353104933e-05
3,2.192113616833479e-05,2.509977159207851e-05,1.9484062037253527e-05
4,2.2101846161669965e-05,2.509977159207851e-05,1.960630538781272e-05
5,2.250364391895104e-05,2.5636424231548182e-05,1.8426386585590565e-05
6,2.2614623077528714e-05,2.5636424231548182e-05,1.9446929329858815e-05
7,2.2952288395173085e-05,2.6206824257036532e-05,1.9798451761072282e-05
8,2.3038345352113252e-05,2.6626903823623388e-05,1.961015021375064e-05
9,2.344274562502585e-05,2.7207922947162214e-05,2.0168202811447474e-05
10,2.403371723444319e-05,2.7816411682892907e-05,2.089602139752591e-05
11,2.440255963279895e-05,2.8164253928913422e-05,2.070822116380203e-05
12,2.4857946254594042e-05,2.8539627272467823e-05,2.1078813684365844e-05
13,2.502043212196762e-05,2.8539627272467823e-05,2.153640729653479e-05
14,2.5516795333116583e-05,3.0517578125e-05,2.2059472337421688e-05
15,2.5924442626895207e-05,3.0517578125e-05,2.2548422737829488e-05
16,2.633584976667582e-05,3.063913229977327e-05,2.2108730737768346e-05
17,2.6644962441699194e-05,3.063913229977327e-05,2.1684918139434023e-05
18,2.7237570160192734e-05,3.17309217832778e-05,2.3490169364121117e-05
19,2.7841808200578375e-05,3.17309217832778e-05,2.3678727031634778e-05
20,2.855605664217541e-05,3.17309217832778e-05,2.521495751279659e-05
21,2.868379158577018e-05,3.264027156705944e-05,2.4466028918846182e-05
22,2.899412098740665e-05,3.2946758039008963e-05,2.5240414952421818e-05
23,2.9292329088134557e-05,3.2946758039008963e-05,2.331980784478336e-05
24,2.99964821738053e-05,3.2946758039008963e-05,2.5975375344173722e-05
25,3.061245368387866e-05,3.3967391304347826e-05,2.727917507774565e-05
26,3.051854551992899e-05,3.4508937814894056e-05,2.6093990553975418e-05
27,3.112043297131485e-05,3.5129628328532286e-05,2.5441408436371037e-05
28,3.11559564267804e-05,3.5129628328532286e-05,2.7564915375709797e-05
29,3.112769010412955e-05,3.5129628328532286e-05,2.7652573071924342e-05
30,3.1693636785093625e-05,3.57398141529664e-05,2.7844294704015148e-05
31,3.1657245752225866e-05,3.57398141529664e-05,2.8138893578704487e-05
32,3.148340379889931e-05,3.5775615340583855e-05,2.6763729793384007e-05
33,3.2086795857609575e-05,3.5775615340583855e-05,2.7884669008978864e-05
34,3.199527151133968e-05,3.618599601954044e-05,2.5736051060325302e-05
35,3.245296996181632e-05,3.6459092897768706e-05,2.647533822244579e-05
36,3.25664424212298e-05,3.657778265481547e-05,2.6454326605116268e-05
37,3.3319464066719376e-05,3.684055408193339e-05,2.737925747453729e-05
38,3.353596914054206e-05,3.684055408193339e-05,2.6530828823092432e-05
39,3.3740109018156094e-05,3.693989878467733e-05,2.944640753828033e-05
40,3.348924524625058e-05,3.744757339724386e-05,2.9145172102241265e-05
41,3.3190725280838675e-05,3.7491095864732125e-05,2.7756960057734476e-05
42,3.326615413281195e-05,3.7491095864732125e-05,2.8527414845666685e-05
43,3.347268855800619e-05,3.77600724993392e-05,2.8075692065809423e-05
44,3.3317047124192155e-05,3.77600724993392e-05,2.6449428692340246e-05
45,3.357910029089774e-05,3.829803531078856e-05,2.794779352170146e-05
