Iteration,Avg,Max,Min
1,4.2558513464934546e-05,4.476075377109351e-05,4.099872903939978e-05
2,4.356051411071026e-05,4.541532313002407e-05,4.223329673114283e-05
3,4.4492981295998005e-05,4.64921660700172e-05,4.3618598970601065e-05
4,4.506737254169911e-05,4.689771608122684e-05,4.43675407072186e-05
5,4.555795496699086e-05,4.805843906189927e-05,4.4694734960221686e-05
6,4.6122031188962284e-05,4.805843906189927e-05,4.538852578068264e-05
7,4.670251400866434e-05,4.867601246105919e-05,4.59411035053062e-05
8,4.749718446277824e-05,4.928293332019122e-05,4.667444574095683e-05
9,4.815729659647706e-05,5.020836471356128e-05,4.7112032413078303e-05
10,4.889624208558891e-05,5.086211281216622e-05,4.805843906189927e-05
11,4.946264355807123e-05,5.086211281216622e-05,4.876145894285157e-05
12,4.98412922152342e-05,5.114304710274638e-05,4.9219865137569525e-05
13,5.027370921548506e-05,5.205351100931758e-05,4.953683063357606e-05
14,5.076122811698477e-05,5.301664722722935e-05,5.016302984700276e-05
15,5.1576877574150144e-05,5.389963887241955e-05,5.0589366115242574e-05
16,5.2344882454331476e-05,5.389963887241955e-05,5.148800329523221e-05
17,5.2903948104175476e-05,5.470758794244762e-05,5.2202965128419294e-05
18,5.347398063654001e-05,5.513287021722351e-05,5.2812252442566676e-05
19,5.3809247972111316e-05,5.513287021722351e-05,5.328786102525844e-05
20,5.4197236657272524e-05,5.513287021722351e-05,5.3824210129716346e-05
21,5.441950416319314e-05,5.546004104043037e-05,5.405989836739107e-05
22,5.465705300301911e-05,5.551546105590407e-05,5.420347986340723e-05
23,5.488798475178896e-05,5.58659217877095e-05,5.4498882772903156e-05
24,5.53123777724577e-05,5.6195560550716494e-05,5.4842601733026214e-05
25,5.559931646385901e-05,5.790723261335341e-05,5.513287021722351e-05
26,5.5813836638026195e-05,5.790723261335341e-05,5.538938739337543e-05
27,5.6202799756337844e-05,5.790723261335341e-05,5.5651399632700765e-05
28,5.6533121849645746e-05,5.790723261335341e-05,5.617661929105106e-05
29,5.685820897384868e-05,5.790723261335341e-05,5.6268287193337834e-05
30,5.701337454393064e-05,5.792400370713624e-05,5.663797009515179e-05
31,5.717262501563188e-05,5.792400370713624e-05,5.695733895312411e-05
32,5.741981343525188e-05,5.857544517338332e-05,5.697356426618049e-05
33,5.7697044537119625e-05,5.857544517338332e-05,5.744155321959906e-05
34,5.785210411780107e-05,5.863726984871584e-05,5.745805561939784e-05
35,5.814521999213849e-05,5.912262031453234e-05,5.767677932864229e-05
36,5.8431875735966826e-05,5.912262031453234e-05,5.7991185339828345e-05
37,5.859514496433358e-05,5.912262031453234e-05,5.812939603557519e-05
38,5.872677527741169e-05,5.912262031453234e-05,5.857544517338332e-05
