Iteration,Avg,Max,Min
1,2.1368845364599007e-05,2.468587227529685e-05,1.8680415452439663e-05
2,2.1989346009160128e-05,2.468587227529685e-05,1.9440880283059218e-05
3,2.2719139871007335e-05,2.5760581158710942e-05,2.0106160527585653e-05
4,2.326303849602864e-05,2.6284662899198317e-05,1.977613416129415e-05
5,2.394193863641229e-05,2.8294946522551073e-05,2.0412745718426585e-05
6,2.4625521249118154e-05,2.8294946522551073e-05,2.1723546151673798e-05
7,2.5200203318006937e-05,2.836718484057642e-05,2.2338880822070814e-05
8,2.5830364396014277e-05,2.9116319697190274e-05,2.2737608003638016e-05
9,2.6547580298634044e-05,3.0385900941962928e-05,2.3553242103775585e-05
10,2.7367483236283143e-05,3.078722945722114e-05,2.4124288333494164e-05
