Iteration,Avg,Max,Min
1,2.1428080160933727e-05,2.35882436193801e-05,2.069750595053296e-05
2,2.1924371416397823e-05,2.392516209297318e-05,2.133515393313563e-05
3,2.2373521126787313e-05,2.4032106894811467e-05,2.1839783349349175e-05
4,2.279466136976531e-05,2.506265664160401e-05,2.2300024530026983e-05
5,2.3222540499032178e-05,2.506265664160401e-05,2.2659294842744493e-05
6,2.3671639705361305e-05,2.506265664160401e-05,2.3092554960280806e-05
7,2.4089773020655268e-05,2.5682512777050106e-05,2.362279126901635e-05
8,2.442524812312722e-05,2.572611972936122e-05,2.4026332860815452e-05
9,2.476801532688717e-05,2.6034886748242646e-05,2.4374192604869964e-05
10,2.5124458944694235e-05,2.6387312979919254e-05,2.4696846212738633e-05
