Iteration,Avg,Max,Min
1,2.1468470763173098e-05,2.392745196564018e-05,1.919570016316345e-05
2,2.2133579930817513e-05,2.441883180308654e-05,1.9972438035510995e-05
3,2.2897784653606657e-05,2.5020016012810247e-05,2.0025231792057992e-05
4,2.3604796707368843e-05,2.7416790042221856e-05,2.145876697924937e-05
5,2.405031462919595e-05,2.7416790042221856e-05,2.1277953911951826e-05
6,2.487404609192298e-05,2.744011195565678e-05,2.193896579715232e-05
7,2.5657448246635226e-05,2.9063008602650547e-05,2.2718495126882797e-05
8,2.6495838190249616e-05,2.9063008602650547e-05,2.248100355199856e-05
9,2.710965067899747e-05,2.9771651433505016e-05,2.436231636904037e-05
10,2.7778939557185275e-05,3.097221792052529e-05,2.4701726650692884e-05
11,2.842682207916049e-05,3.2003072294940317e-05,2.569241046194954e-05
12,2.925255072661209e-05,3.300874731803928e-05,2.652449537147556e-05
13,3.0114821865681004e-05,3.300874731803928e-05,2.762278327164245e-05
14,3.0828762693955806e-05,3.358296671927998e-05,2.8063873375803328e-05
15,3.1352750685395024e-05,3.382721060821325e-05,2.924404152653897e-05
16,3.191283343926612e-05,3.414717432132491e-05,2.9418686749823487e-05
17,3.257025449633128e-05,3.524353281172905e-05,2.9672710008605084e-05
18,3.3260527368340366e-05,3.5570732401380144e-05,3.054834275240568e-05
19,3.3837988458104214e-05,3.6370249136206584e-05,3.1633556877135266e-05
20,3.451837035017559e-05,3.684734146431335e-05,3.209448616727646e-05
21,3.5225620061464795e-05,3.715262297518205e-05,3.311806590495115e-05
22,3.582872711041667e-05,3.747283219665742e-05,3.4050667393080905e-05
23,3.6218740034310725e-05,3.8103947568968146e-05,3.396277679663089e-05
24,3.6719484964274385e-05,3.848522167487685e-05,3.427474636687688e-05
25,3.7216696454833316e-05,3.904572254109562e-05,3.560112499554986e-05
26,3.761986462828348e-05,3.968883949833307e-05,3.545344962064809e-05
27,3.816094212904774e-05,3.9839050237042346e-05,3.61167292689974e-05
28,3.865593527307161e-05,4.033396523212197e-05,3.637289491870658e-05
29,3.920554257209097e-05,4.0553144896386715e-05,3.702469547187974e-05
30,3.944695211547622e-05,4.074149521287431e-05,3.7616611495636476e-05
31,3.985264110742463e-05,4.102059233735335e-05,3.861600247142416e-05
32,4.019251997621037e-05,4.1034058268362744e-05,3.889537145079735e-05
33,4.0492239445332016e-05,4.123201253453181e-05,3.945395723191036e-05
34,4.0754957166261184e-05,4.149721968628102e-05,3.967151981592415e-05
35,4.093316017841317e-05,4.167882299003876e-05,3.9770919503658924e-05
