Iteration,Avg,Max,Min
1,2.167211261924342e-05,2.4235373951820075e-05,2.0832899314597614e-05
2,2.2314882247603237e-05,2.4235373951820075e-05,2.156194747509595e-05
3,2.2976925667460877e-05,2.506454119357345e-05,2.2236057991639243e-05
4,2.3462983371471065e-05,2.5199072674125592e-05,2.282167145921767e-05
5,2.3943982626005247e-05,2.5656814449917897e-05,2.344830820456304e-05
6,2.4343763396573637e-05,2.6091948024839534e-05,2.3831653201782607e-05
7,2.4820481306237927e-05,2.6425664605464827e-05,2.4295432458697766e-05
8,2.53109732995689e-05,2.686655382714059e-05,2.474451290426348e-05
9,2.5755958010295486e-05,2.738525577828897e-05,2.5200342724661055e-05
10,2.62108130114351e-05,2.8217500493806258e-05,2.5708262635611086e-05
