Iteration,Avg,Max,Min
1,2.1429282396349907e-05,2.388344877000239e-05,2.0566398617938014e-05
2,2.1982991833635486e-05,2.416626389560174e-05,2.1252630012964103e-05
3,2.243901912508864e-05,2.416626389560174e-05,2.1834061135371177e-05
4,2.2904301215513134e-05,2.479174930583102e-05,2.23488657950609e-05
5,2.3350887891638774e-05,2.479174930583102e-05,2.280345700408182e-05
6,2.3858373133216207e-05,2.511174727537542e-05,2.325311010347634e-05
7,2.4334725019089034e-05,2.5728767334756992e-05,2.3814626943868923e-05
8,2.4691391814691157e-05,2.5922853587722935e-05,2.428127428127428e-05
9,2.5029346083334673e-05,2.635254433815585e-05,2.4606904697458107e-05
10,2.5438389243811207e-05,2.7067262146433887e-05,2.501626056937009e-05
11,2.5881828666456504e-05,2.764951475101612e-05,2.5412960609911054e-05
12,2.6204660718088458e-05,2.764951475101612e-05,2.576655501159495e-05
13,2.660476824173598e-05,2.8165840468679586e-05,2.6153363322523277e-05
14,2.7000055546099844e-05,2.8555926782603728e-05,2.6555487691531455e-05
15,2.742275622347557e-05,2.8844212408780178e-05,2.691355366562601e-05
16,2.7794987380795437e-05,2.9278290147855364e-05,2.7343322760581868e-05
17,2.8180841559680677e-05,2.932981375568265e-05,2.7769292716114522e-05
18,2.85239301367129e-05,2.9460287532406317e-05,2.8165840468679586e-05
19,2.880810628560236e-05,3.0196883681604057e-05,2.844869278256664e-05
20,2.908478267412425e-05,3.0196883681604057e-05,2.8713354581215722e-05
21,2.937984539423394e-05,3.0292015024839453e-05,2.905625290562529e-05
22,2.961834924379848e-05,3.063350079647102e-05,2.9278290147855364e-05
23,2.990913734728188e-05,3.091190108191654e-05,2.956917708980159e-05
24,3.0184844741993326e-05,3.0998140111593304e-05,2.9902517791998086e-05
25,3.0375610252939042e-05,3.11594428691615e-05,3.0181390154830533e-05
26,3.0513261136008146e-05,3.11594428691615e-05,3.0281924719135148e-05
27,3.0684723351505945e-05,3.132047105988474e-05,3.047108294228777e-05
28,3.0868812713048725e-05,3.151293606025273e-05,3.065415976948072e-05
29,3.102608558941391e-05,3.17258883248731e-05,3.0838498781879296e-05
30,3.122317457589139e-05,3.180155827635554e-05,3.096166945321692e-05
31,3.138706891301324e-05,3.1831927423205473e-05,3.120611639881417e-05
32,3.1533669499182036e-05,3.183699458771092e-05,3.1345014575431776e-05
33,3.163048459151124e-05,3.192848020434228e-05,3.151293606025273e-05
34,3.172349026888377e-05,3.21316110789795e-05,3.163555836760519e-05
35,3.180006899620983e-05,3.21316110789795e-05,3.170577045022194e-05
36,3.1867560348335046e-05,3.21316110789795e-05,3.180155827635554e-05
37,3.191423730023795e-05,3.21316110789795e-05,3.1831927423205473e-05
38,3.199542692902674e-05,3.233211549031653e-05,3.192848020434228e-05
39,3.206807068544203e-05,3.233211549031653e-05,3.199795213106361e-05
40,3.214843499897849e-05,3.233211549031653e-05,3.201844262295082e-05
41,3.221198128034147e-05,3.233211549031653e-05,3.2126449706042984e-05
42,3.2287215558567995e-05,3.233211549031653e-05,3.220197076061055e-05
43,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
44,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
45,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
46,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
47,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
48,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
49,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
50,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
51,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
52,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
53,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
54,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
55,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
56,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
57,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
58,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
59,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
60,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
61,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
62,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
63,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
64,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
65,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
66,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
67,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
68,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
69,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
70,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
71,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
72,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
73,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
74,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
75,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
76,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
77,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
78,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
79,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
80,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
81,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
82,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
83,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
84,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
85,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
86,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
87,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
88,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
89,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
90,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
91,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
92,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
93,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
94,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
95,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
96,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
97,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
98,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
99,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
100,3.2332115490316476e-05,3.233211549031653e-05,3.233211549031653e-05
