Iteration,Avg,Max,Min
1,2.1294222897985534e-05,2.3869196801527628e-05,2.047711682195147e-05
2,2.194401244916843e-05,2.4501396579605037e-05,2.1178812715759155e-05
3,2.240630151770908e-05,2.4501396579605037e-05,2.1764206585848912e-05
4,2.2812751178873774e-05,2.455976619102586e-05,2.2218765969738042e-05
5,2.3276249932860295e-05,2.5570869665277317e-05,2.2672652246859837e-05
6,2.3700547671892432e-05,2.563313852148057e-05,2.309628842644987e-05
7,2.4060364260432252e-05,2.6331727097980358e-05,2.3486307482737563e-05
8,2.4334289578729103e-05,2.6331727097980358e-05,2.381859756097561e-05
9,2.4677064617513035e-05,2.6436143495386894e-05,2.418145765826764e-05
10,2.4976464283276338e-05,2.6436143495386894e-05,2.447800651114973e-05
11,2.524329420424707e-05,2.6626194850493917e-05,2.4752475247524754e-05
12,2.5591679862662013e-05,2.686655382714059e-05,2.509914160935696e-05
13,2.587482378336701e-05,2.718129926610492e-05,2.5413606444890594e-05
14,2.6199732166154264e-05,2.741378365041943e-05,2.5714873482822464e-05
15,2.6578312017079968e-05,2.8111998200832114e-05,2.6044379622877384e-05
16,2.6833806743590485e-05,2.8577144000228616e-05,2.6391491383178063e-05
17,2.7076413770037733e-05,2.8577144000228616e-05,2.6675914316963213e-05
18,2.7437342824355176e-05,2.902336380786533e-05,2.6954904444863743e-05
19,2.7759500286844544e-05,2.92201151272536e-05,2.721236529879177e-05
20,2.8035911694910415e-05,2.9378066335673786e-05,2.7536072254653597e-05
21,2.8287860903940383e-05,2.963753297175543e-05,2.7864467231386535e-05
22,2.8533723834243292e-05,2.969561989606533e-05,2.8072539441917915e-05
23,2.8887009058609318e-05,3.0303030303030302e-05,2.839698991906858e-05
24,2.920163791988099e-05,3.0303030303030302e-05,2.8728202476371054e-05
25,2.949835846572261e-05,3.176620076238882e-05,2.8996433438687043e-05
26,2.978559198094599e-05,3.176620076238882e-05,2.931863492435792e-05
27,3.0085857934202055e-05,3.176620076238882e-05,2.9607698001480386e-05
28,3.0405965830932285e-05,3.2041012495994874e-05,2.991325157044571e-05
29,3.073892993859361e-05,3.3037100664045725e-05,3.0193236714975845e-05
30,3.1114384098502896e-05,3.3037100664045725e-05,3.054181174027243e-05
31,3.1464071721806414e-05,3.3037100664045725e-05,3.094825451844516e-05
