Iteration,Avg,Max,Min
1,2.1400987756724177e-05,2.4554941682013504e-05,2.0652622883106156e-05
2,2.194076681028588e-05,2.4554941682013504e-05,2.128610655824943e-05
3,2.2477140027389937e-05,2.4646932689226827e-05,2.1815484630991076e-05
4,2.301547706811836e-05,2.4789291026276648e-05,2.2428061991163345e-05
5,2.3515479360857955e-05,2.575527339222706e-05,2.290950744558992e-05
6,2.4078002712794062e-05,2.6003744539213646e-05,2.3384154896642037e-05
7,2.4558427935057904e-05,2.6353238813050125e-05,2.3963575365444525e-05
8,2.5029059054337626e-05,2.6673779674579886e-05,2.4477407353013167e-05
9,2.5456858890857712e-05,2.7843519420854795e-05,2.4922739507526666e-05
10,2.593690092578382e-05,2.7843519420854795e-05,2.5369764314889513e-05
11,2.6354998306698306e-05,2.8071751396569632e-05,2.5827780360555812e-05
12,2.6723660176850566e-05,2.872572676088705e-05,2.623570154265925e-05
13,2.7092010083122323e-05,2.8924305093570128e-05,2.664606037997282e-05
14,2.746119505356517e-05,2.8924305093570128e-05,2.7005860271678956e-05
15,2.7845181997144282e-05,2.94811320754717e-05,2.7401764673644982e-05
16,2.815602095316528e-05,2.94811320754717e-05,2.7736942834160818e-05
17,2.846217143397006e-05,2.9633141705683638e-05,2.8055212658511953e-05
18,2.8730905640835614e-05,2.9633141705683638e-05,2.8339851499178144e-05
19,2.9055237130929796e-05,3.0483158055174515e-05,2.8682882055988986e-05
20,2.933935196288453e-05,3.0848963474827244e-05,2.8981307056948267e-05
21,2.9635520212800324e-05,3.0989494561343705e-05,2.924660739354235e-05
22,2.9894709511763485e-05,3.1501023783272954e-05,2.9551700700375305e-05
23,3.0190329914208668e-05,3.1577617784514334e-05,2.9807147754031416e-05
24,3.0553957035438505e-05,3.2036906516306786e-05,3.0123203903967227e-05
25,3.0891564383799027e-05,3.299676631690094e-05,3.048129972262017e-05
26,3.125510388183022e-05,3.299676631690094e-05,3.0848963474827244e-05
27,3.161289766822074e-05,3.299676631690094e-05,3.11701265507138e-05
28,3.1942995076778667e-05,3.3285623939020734e-05,3.150697879580327e-05
29,3.228906900866354e-05,3.329116452493508e-05,3.187149413564508e-05
30,3.258807556478028e-05,3.438198384046759e-05,3.2222723464587226e-05
31,3.2918087309341694e-05,3.438198384046759e-05,3.2536196518626975e-05
32,3.3189520859643e-05,3.457814661134163e-05,3.282132072994617e-05
33,3.349916788902948e-05,3.5527764948307104e-05,3.305894409732553e-05
34,3.381268339739586e-05,3.5527764948307104e-05,3.339901806886878e-05
35,3.413779944944953e-05,3.5527764948307104e-05,3.373591525538088e-05
36,3.444081437234282e-05,3.57423690042176e-05,3.4042553191489365e-05
37,3.4746198001646263e-05,3.6095870632399656e-05,3.434419754782429e-05
38,3.5097890035753085e-05,3.653501881553469e-05,3.461165720614703e-05
39,3.544920287922602e-05,3.669994128009395e-05,3.4980935390212336e-05
40,3.57678025880192e-05,3.6836482852617235e-05,3.533943527582429e-05
41,3.6076216081703025e-05,3.7282827529639845e-05,3.5741091532935415e-05
42,3.637036208098736e-05,3.759822536376283e-05,3.600100802822479e-05
43,3.6623305740125855e-05,3.7824343747635976e-05,3.6297640653357535e-05
44,3.689040699866942e-05,3.787735313056323e-05,3.6516341062625523e-05
45,3.713484833136995e-05,3.800836183960471e-05,3.680394538294505e-05
46,3.734839642877368e-05,3.800836183960471e-05,3.710988236167291e-05
47,3.7536300256613864e-05,3.902439024390244e-05,3.729534181180771e-05
48,3.7736083684915726e-05,3.902439024390244e-05,3.7496719037084256e-05
49,3.790498590076605e-05,3.902439024390244e-05,3.7677555480200444e-05
50,3.805595732591273e-05,3.9178812098417176e-05,3.7831498505655806e-05
51,3.820325093871813e-05,3.9178812098417176e-05,3.800836183960471e-05
52,3.835818633977271e-05,3.922337713277113e-05,3.818980332251289e-05
53,3.8522754392980086e-05,3.922337713277113e-05,3.829656862745098e-05
54,3.876257446874367e-05,3.937938095613137e-05,3.840688251334639e-05
55,3.9026137758256905e-05,3.937938095613137e-05,3.861451133335908e-05
56,3.918258341815889e-05,3.937938095613137e-05,3.902439024390244e-05
57,3.925627010772717e-05,3.937938095613137e-05,3.9178812098417176e-05
58,3.9311363289146145e-05,3.937938095613137e-05,3.922337713277113e-05
59,3.9379380956131424e-05,3.937938095613137e-05,3.937938095613137e-05
60,3.9379380956131424e-05,3.937938095613137e-05,3.937938095613137e-05
61,3.9379380956131424e-05,3.937938095613137e-05,3.937938095613137e-05
62,3.9379380956131424e-05,3.937938095613137e-05,3.937938095613137e-05
63,3.9379380956131424e-05,3.937938095613137e-05,3.937938095613137e-05
64,3.9379380956131424e-05,3.937938095613137e-05,3.937938095613137e-05
65,3.9379380956131424e-05,3.937938095613137e-05,3.937938095613137e-05
66,3.9379380956131424e-05,3.937938095613137e-05,3.937938095613137e-05
67,3.9379380956131424e-05,3.937938095613137e-05,3.937938095613137e-05
68,3.9379380956131424e-05,3.937938095613137e-05,3.937938095613137e-05
69,3.9379380956131424e-05,3.937938095613137e-05,3.937938095613137e-05
70,3.9379380956131424e-05,3.937938095613137e-05,3.937938095613137e-05
71,3.9379380956131424e-05,3.937938095613137e-05,3.937938095613137e-05
72,3.9379380956131424e-05,3.937938095613137e-05,3.937938095613137e-05
73,3.9379380956131424e-05,3.937938095613137e-05,3.937938095613137e-05
74,3.9379380956131424e-05,3.937938095613137e-05,3.937938095613137e-05
75,3.9379380956131424e-05,3.937938095613137e-05,3.937938095613137e-05
76,3.9379380956131424e-05,3.937938095613137e-05,3.937938095613137e-05
77,3.9379380956131424e-05,3.937938095613137e-05,3.937938095613137e-05
