Iteration,Avg,Max,Min
1,2.1439822679878545e-05,2.416684791802605e-05,2.0570206113465255e-05
2,2.2034420159004024e-05,2.486881699037577e-05,2.1280670766742568e-05
3,2.2599375053406248e-05,2.534276084036595e-05,2.1862224262696485e-05
4,2.3250314940155416e-05,2.5540827011978647e-05,2.2456770716370986e-05
5,2.3896332554442696e-05,2.61766399664939e-05,2.3043598488339938e-05
6,2.441603562125356e-05,2.61766399664939e-05,2.370848052348325e-05
7,2.5010677686306627e-05,2.6972353337828724e-05,2.4325573475394683e-05
8,2.545472947456349e-05,2.6972353337828724e-05,2.4897298643097223e-05
9,2.583717864957783e-05,2.7128943870215132e-05,2.5400695979069827e-05
10,2.6156622154989485e-05,2.737700878801982e-05,2.5810448069378484e-05
11,2.6473533307528834e-05,2.7462719358470875e-05,2.6085141903171954e-05
12,2.6790862982920634e-05,2.7858257187430356e-05,2.6404034536477173e-05
13,2.7079997357404295e-05,2.8000224001792016e-05,2.6727248429774155e-05
14,2.7338266950507958e-05,2.8180921516133577e-05,2.6983270372369132e-05
15,2.7592228717673184e-05,2.8774494288262883e-05,2.7324644096510642e-05
16,2.7863475218864244e-05,2.8851702250432774e-05,2.755580049600441e-05
17,2.8073107112327404e-05,2.909683426443203e-05,2.779167361458507e-05
18,2.832091799698522e-05,2.9135831245265428e-05,2.8062298302230953e-05
19,2.8516183929496894e-05,2.9322073657049025e-05,2.8271748042181448e-05
20,2.8740836116601068e-05,2.949417490045716e-05,2.8439792958307262e-05
21,2.8972663799025813e-05,2.997242536866083e-05,2.870676044208411e-05
22,2.917519254309036e-05,2.997242536866083e-05,2.893937201562726e-05
23,2.936111601451572e-05,3.0147723846849564e-05,2.9135831245265428e-05
24,2.9576974194093816e-05,3.0203267993596907e-05,2.9295444558371174e-05
25,2.9793991487574016e-05,3.0596010280259455e-05,2.9584048281166794e-05
26,2.99641284500533e-05,3.0596010280259455e-05,2.9743315189911066e-05
27,3.013236557980323e-05,3.0596010280259455e-05,2.9950880555888343e-05
28,3.0254766664476843e-05,3.091667954861648e-05,3.010778587342687e-05
29,3.0410431399817262e-05,3.133519255475825e-05,3.0205092578608753e-05
30,3.057570505045848e-05,3.147920798312714e-05,3.0352698354883748e-05
31,3.0784409372714664e-05,3.21285140562249e-05,3.053901358986105e-05
32,3.105708896033251e-05,3.21285140562249e-05,3.0673905708413856e-05
33,3.1385469300754594e-05,3.2474913129607376e-05,3.104144032283098e-05
34,3.175287565106994e-05,3.257647327100368e-05,3.133519255475825e-05
35,3.198110456947423e-05,3.2721442361179283e-05,3.167664480978175e-05
36,3.2189303781151174e-05,3.2721442361179283e-05,3.1890805880664604e-05
37,3.2394343970770685e-05,3.301746623964077e-05,3.21285140562249e-05
38,3.254933257855717e-05,3.3142213236999966e-05,3.2449621961904146e-05
39,3.265700626909498e-05,3.327122704285334e-05,3.2474913129607376e-05
40,3.284261745054515e-05,3.367116737937304e-05,3.2642402480822586e-05
41,3.302843229988008e-05,3.367116737937304e-05,3.280301787764474e-05
42,3.322984666234287e-05,3.3800912624640865e-05,3.302837137100769e-05
43,3.339991642929798e-05,3.397893306150187e-05,3.323031934336889e-05
44,3.3560157803054665e-05,3.397893306150187e-05,3.337226764558652e-05
45,3.369635633828091e-05,3.424540255470703e-05,3.358183894150044e-05
46,3.381477178913064e-05,3.429355281207133e-05,3.365983372042142e-05
47,3.3895967326382196e-05,3.429355281207133e-05,3.3800912624640865e-05
48,3.402389751997471e-05,3.452204232402389e-05,3.3847820200379094e-05
49,3.415027717720707e-05,3.465844106332097e-05,3.4020548411240386e-05
50,3.423765981688548e-05,3.465844106332097e-05,3.407038942455112e-05
51,3.437061329553608e-05,3.465844106332097e-05,3.424540255470703e-05
52,3.448359424268534e-05,3.465844106332097e-05,3.429355281207133e-05
53,3.45302262483818e-05,3.465844106332097e-05,3.452204232402389e-05
54,3.454568477216881e-05,3.465844106332097e-05,3.452204232402389e-05
55,3.456932722031361e-05,3.465844106332097e-05,3.452204232402389e-05
56,3.461843076646046e-05,3.465844106332097e-05,3.452204232402389e-05
57,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
58,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
59,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
60,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
61,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
62,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
63,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
64,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
65,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
66,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
67,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
68,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
69,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
70,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
71,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
72,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
73,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
74,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
75,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
76,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
77,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
78,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
79,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
80,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
81,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
82,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
83,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
84,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
85,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
86,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
87,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
88,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
89,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
90,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
91,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
92,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
93,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
94,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
95,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
96,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
97,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
98,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
99,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
100,3.465844106332095e-05,3.465844106332097e-05,3.465844106332097e-05
