Iteration,Avg,Max,Min
1,2.1011885275678786e-05,2.1898609438300667e-05,2.0673116679070536e-05
2,2.1212334567783345e-05,2.1898609438300667e-05,2.0935393376041534e-05
3,2.1448176152779184e-05,2.1898609438300667e-05,2.1199915200339197e-05
4,2.16655305224446e-05,2.248656427784399e-05,2.1436686745696584e-05
5,2.180516377173008e-05,2.2735023303398885e-05,2.1646427257181202e-05
6,2.200822685522921e-05,2.2828965391288468e-05,2.1747167431442053e-05
7,2.2195916328030266e-05,2.2888532845044633e-05,2.1879922982671102e-05
8,2.247797121684753e-05,2.3124595319581908e-05,2.2217285047767163e-05
9,2.2607872698748582e-05,2.3124595319581908e-05,2.239340738086707e-05
10,2.2691941244539233e-05,2.3124595319581908e-05,2.247645591243173e-05
11,2.288820746680117e-05,2.3685457129322596e-05,2.26490306214894e-05
12,2.299152721193973e-05,2.3685457129322596e-05,2.280397701359117e-05
13,2.311375308549371e-05,2.396242691459791e-05,2.292105986980838e-05
14,2.3229265590984736e-05,2.396242691459791e-05,2.3049972340033192e-05
15,2.3341319021305886e-05,2.396242691459791e-05,2.313690104347424e-05
16,2.350827495766678e-05,2.396242691459791e-05,2.3298618391929358e-05
17,2.3670183619954015e-05,2.396242691459791e-05,2.3526643924244205e-05
18,2.3753030331569556e-05,2.420721374969741e-05,2.3542706469535737e-05
19,2.3841948524094556e-05,2.4458249767646627e-05,2.3685457129322596e-05
20,2.398016992384404e-05,2.4469620965571242e-05,2.3824272168485253e-05
21,2.4125432301594817e-05,2.4469620965571242e-05,2.396242691459791e-05
22,2.4269811362547245e-05,2.4469620965571242e-05,2.4024601191620218e-05
23,2.4392431486214678e-05,2.4469620965571242e-05,2.4243599689681924e-05
24,2.4472361594962115e-05,2.4693187149665406e-05,2.442002442002442e-05
25,2.4487200593398267e-05,2.4693187149665406e-05,2.4459446238137168e-05
26,2.451813010976747e-05,2.479789713832267e-05,2.4469620965571242e-05
27,2.457667175478588e-05,2.479789713832267e-05,2.4469620965571242e-05
28,2.4643575294479228e-05,2.4849042069428225e-05,2.4559163023724152e-05
29,2.470450155908402e-05,2.4889862359061156e-05,2.457485500835545e-05
30,2.4768472213424454e-05,2.4889862359061156e-05,2.4693187149665406e-05
31,2.480905127115388e-05,2.4889862359061156e-05,2.4737167594310453e-05
32,2.4844160039702205e-05,2.4889862359061156e-05,2.479789713832267e-05
33,2.4860226279199607e-05,2.49500998003992e-05,2.4849042069428225e-05
34,2.4870432589586298e-05,2.49500998003992e-05,2.4849042069428225e-05
35,2.4886737584316393e-05,2.49500998003992e-05,2.4860779634049325e-05
36,2.4895570133272002e-05,2.49500998003992e-05,2.4880573248407645e-05
37,2.4899254324882477e-05,2.49500998003992e-05,2.4889862359061156e-05
38,2.4909461342255222e-05,2.49912530614285e-05,2.4889862359061156e-05
39,2.4924048026528234e-05,2.49912530614285e-05,2.4909702329057167e-05
40,2.4941692045225983e-05,2.5027530283311642e-05,2.4909702329057167e-05
41,2.4952851727422322e-05,2.5027530283311642e-05,2.4945743008955522e-05
42,2.4957636488026576e-05,2.5027530283311642e-05,2.4945743008955522e-05
43,2.4982599997051055e-05,2.5027530283311642e-05,2.4945743008955522e-05
44,2.4999240831689446e-05,2.5027530283311642e-05,2.4965672200724004e-05
45,2.5014286502529263e-05,2.5027530283311642e-05,2.5007502250675202e-05
46,2.5018292109056538e-05,2.5027530283311642e-05,2.5007502250675202e-05
47,2.5027530283311636e-05,2.5027530283311642e-05,2.5027530283311642e-05
