Iteration,Avg,Max,Min
1,2.1541181958613313e-05,2.3336678257216868e-05,2.0711652375626527e-05
2,2.2154415436343548e-05,2.4996250562415636e-05,2.1424745581146223e-05
3,2.2857667301936962e-05,2.5197167838334972e-05,2.2027402088197716e-05
4,2.3583741513571673e-05,2.6382439848037146e-05,2.2768151909109538e-05
5,2.4198784858665246e-05,2.6382439848037146e-05,2.3467567821271004e-05
6,2.4834296581509592e-05,2.6382439848037146e-05,2.412894508252099e-05
7,2.5473161867319056e-05,2.733136547501913e-05,2.4775165374228874e-05
8,2.6102299779086925e-05,2.7751567963589943e-05,2.5417482144218793e-05
9,2.6600030560996492e-05,2.85673475217826e-05,2.596391016487083e-05
10,2.7057479998894393e-05,2.85673475217826e-05,2.656748140276302e-05
11,2.7531200631702835e-05,2.948982601002654e-05,2.7018264346698368e-05
12,2.794696964088244e-05,2.9870362626202283e-05,2.7414535186555912e-05
13,2.8378181380502467e-05,3.0839449824215136e-05,2.7841968984046552e-05
14,2.8835486723951715e-05,3.103951330043145e-05,2.8199199142744347e-05
15,2.9367242836789616e-05,3.114973678472417e-05,2.8712530148156656e-05
16,2.985814406728251e-05,3.114973678472417e-05,2.9223530786989683e-05
17,3.0334220912294057e-05,3.114973678472417e-05,2.9738008148214232e-05
18,3.074059072628151e-05,3.1340102795537166e-05,3.0279173984133713e-05
19,3.102011099595001e-05,3.1513929156687254e-05,3.077301821762679e-05
20,3.1170297792341054e-05,3.187250996015936e-05,3.103951330043145e-05
21,3.1231113216585724e-05,3.187250996015936e-05,3.114973678472417e-05
22,3.1368253865991876e-05,3.187250996015936e-05,3.114973678472417e-05
23,3.1529027671602385e-05,3.196215680634129e-05,3.128617463942684e-05
24,3.172896436892489e-05,3.2196786760681284e-05,3.150995714645828e-05
25,3.1844462291878906e-05,3.2407557442395564e-05,3.167965532535006e-05
26,3.189180743195271e-05,3.2407557442395564e-05,3.1856264534420696e-05
27,3.192850257841226e-05,3.259346175157264e-05,3.187250996015936e-05
28,3.19725035455403e-05,3.259346175157264e-05,3.187250996015936e-05
29,3.207222063201624e-05,3.327012010513358e-05,3.196215680634129e-05
30,3.215294207632957e-05,3.327012010513358e-05,3.197851044098366e-05
31,3.233303768291819e-05,3.327012010513358e-05,3.2042039155371846e-05
32,3.25708130533437e-05,3.349073981044241e-05,3.2407557442395564e-05
33,3.279881062407813e-05,3.349073981044241e-05,3.2407557442395564e-05
34,3.304479223482119e-05,3.3524422541821715e-05,3.264879689183453e-05
35,3.334473749974536e-05,3.371203182415804e-05,3.327012010513358e-05
36,3.34045704228764e-05,3.395816354251562e-05,3.327012010513358e-05
37,3.3532188307091874e-05,3.395816354251562e-05,3.327787021630615e-05
38,3.3650924392941585e-05,3.4075033223157395e-05,3.3524422541821715e-05
39,3.376552696384167e-05,3.4075033223157395e-05,3.3697263782180885e-05
40,3.384829764108063e-05,3.418803418803419e-05,3.371203182415804e-05
41,3.397877056877213e-05,3.430649421935573e-05,3.3850111705368625e-05
42,3.406047257483098e-05,3.430649421935573e-05,3.393857118615306e-05
