Iteration,Avg,Max,Min
1,2.1150167502754545e-05,2.2554525565554728e-05,2.072538860103627e-05
2,2.1478683146341627e-05,2.2554525565554728e-05,2.1096601337524523e-05
3,2.1759952110666776e-05,2.2628530050687906e-05,2.143025523433984e-05
4,2.2013500221629334e-05,2.2801897117840204e-05,2.1713169037020953e-05
5,2.224612239139164e-05,2.3207240659085633e-05,2.196691782176043e-05
6,2.2457002155575023e-05,2.3326879563320814e-05,2.2178358357914347e-05
7,2.2662078571426564e-05,2.338579546783284e-05,2.242755898448013e-05
8,2.2865092752017298e-05,2.3485204321277596e-05,2.2633651713367434e-05
9,2.309257923941719e-05,2.3769342302298494e-05,2.284669865204478e-05
10,2.3263799069759028e-05,2.3803856224708402e-05,2.3048909786567094e-05
11,2.343926500229316e-05,2.405754564919287e-05,2.3232581372116254e-05
12,2.3603140428230057e-05,2.405754564919287e-05,2.3423043590284122e-05
13,2.376301516228855e-05,2.4443901246638963e-05,2.35882436193801e-05
14,2.3932360456085756e-05,2.472432378974435e-05,2.3731548720869524e-05
15,2.4120126263350584e-05,2.496255616575137e-05,2.3905144387072098e-05
16,2.4277873219546e-05,2.520478890989288e-05,2.405754564919287e-05
17,2.4440624800599306e-05,2.520478890989288e-05,2.4235961319405733e-05
18,2.4616102695625312e-05,2.5523226135783563e-05,2.441585077032009e-05
19,2.4814958362490207e-05,2.572744346394299e-05,2.456278247199843e-05
20,2.50267820078844e-05,2.572744346394299e-05,2.4764121740422477e-05
21,2.5232392094530175e-05,2.5896001657344107e-05,2.5010004001600642e-05
22,2.5387127119720464e-05,2.5896001657344107e-05,2.5187647977431868e-05
23,2.5540613223518367e-05,2.621987991295e-05,2.5391666455069447e-05
24,2.566288376438529e-05,2.621987991295e-05,2.5499145778616417e-05
25,2.5795985550210424e-05,2.6460626587637594e-05,2.564299817934713e-05
26,2.5898417256530636e-05,2.6460626587637594e-05,2.5763235862424322e-05
27,2.600815774500223e-05,2.6461326770924294e-05,2.5880586971712517e-05
28,2.6134844690903802e-05,2.6722248944471167e-05,2.59888767607464e-05
29,2.6248738173135173e-05,2.6722248944471167e-05,2.6112387716732817e-05
30,2.6333371973621843e-05,2.6722248944471167e-05,2.6206824257036532e-05
31,2.6433178042267797e-05,2.690052187012428e-05,2.629987113063146e-05
32,2.6539121497256135e-05,2.690052187012428e-05,2.6460626587637594e-05
33,2.660513522740441e-05,2.690052187012428e-05,2.652730986550654e-05
34,2.6670147060003156e-05,2.690052187012428e-05,2.6575247814185868e-05
35,2.675683738810445e-05,2.698836801338623e-05,2.6667377796741245e-05
36,2.6810088166325453e-05,2.6999298018251526e-05,2.672581981452281e-05
37,2.687212591483274e-05,2.7053349204631533e-05,2.6810370251213168e-05
38,2.6915314501185185e-05,2.7091460771564802e-05,2.686583203481812e-05
39,2.694489083519195e-05,2.718056046315675e-05,2.690052187012428e-05
40,2.698301608991595e-05,2.718056046315675e-05,2.6919349628512974e-05
41,2.7024004492071114e-05,2.718056046315675e-05,2.696726174424249e-05
42,2.7062633323647146e-05,2.726504348774436e-05,2.7028488026379805e-05
43,2.709330976595312e-05,2.726504348774436e-05,2.7051153731706658e-05
44,2.7137372010931752e-05,2.726504348774436e-05,2.7091460771564802e-05
45,2.7175303081937792e-05,2.7292576419213974e-05,2.7104678267468964e-05
46,2.7194720519935722e-05,2.732912464813752e-05,2.7178344295265532e-05
47,2.7215697632367368e-05,2.732912464813752e-05,2.718056046315675e-05
48,2.7257072196600813e-05,2.7367268746579092e-05,2.7184993883376375e-05
49,2.7280857644671508e-05,2.7367268746579092e-05,2.725092653150207e-05
50,2.730658290534878e-05,2.7367268746579092e-05,2.726504348774436e-05
51,2.732560627960789e-05,2.7367268746579092e-05,2.7317179774360095e-05
52,2.7329652468118046e-05,2.7367268746579092e-05,2.7323150905762454e-05
53,2.7336275682098718e-05,2.7367268746579092e-05,2.7325390753087768e-05
54,2.7344061483236038e-05,2.7367268746579092e-05,2.732912464813752e-05
55,2.735805067582997e-05,2.7367268746579092e-05,2.733136547501913e-05
56,2.7367212578635742e-05,2.7367268746579092e-05,2.7365022028842732e-05
57,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
58,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
59,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
60,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
61,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
62,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
63,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
64,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
65,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
66,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
67,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
68,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
69,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
70,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
71,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
72,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
73,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
74,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
75,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
76,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
77,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
78,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
79,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
80,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
81,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
82,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
83,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
84,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
85,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
86,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
87,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
88,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
89,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
90,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
91,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
92,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
93,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
94,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
95,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
96,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
97,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
98,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
99,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
100,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
101,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
102,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
103,2.7367268746579153e-05,2.7367268746579092e-05,2.7367268746579092e-05
