Iteration,Avg,Max,Min
1,2.109961993296924e-05,2.201818702248057e-05,2.066756226103131e-05
2,2.133012943199852e-05,2.2304998550175094e-05,2.1061943174877314e-05
3,2.1574268788532332e-05,2.248201438848921e-05,2.1313781491112153e-05
4,2.181054137015597e-05,2.270714593882695e-05,2.1549866390828377e-05
5,2.206822556734541e-05,2.2850353037954437e-05,2.177984928344296e-05
6,2.2324633321114263e-05,2.298005331372369e-05,2.2016732716864817e-05
7,2.256279674049147e-05,2.302873986735446e-05,2.2304998550175094e-05
8,2.273972161760322e-05,2.3227724612097e-05,2.2543339570323948e-05
9,2.2930845122048358e-05,2.3347030257751215e-05,2.2751057924193473e-05
10,2.308915139714756e-05,2.365464222353637e-05,2.2916332470151475e-05
11,2.3257672970347818e-05,2.3912003825920613e-05,2.3065922406237024e-05
12,2.3440309544062602e-05,2.4017677010279567e-05,2.323042256138639e-05
13,2.3603473651708235e-05,2.416626389560174e-05,2.3410431688360332e-05
14,2.3780943022288055e-05,2.4298974583272587e-05,2.3576009053187476e-05
15,2.3938974997361622e-05,2.4699286190629092e-05,2.3744509082274723e-05
16,2.4101240800964182e-05,2.4765348324624187e-05,2.3890866521728743e-05
17,2.4264522628176217e-05,2.4968789013732834e-05,2.407318247472316e-05
18,2.4484588298920207e-05,2.503191569250795e-05,2.4261833709391756e-05
19,2.4690184400784832e-05,2.530812643939969e-05,2.44552591034702e-05
20,2.4889633179228983e-05,2.5815112166662364e-05,2.464146666009561e-05
21,2.508656195152021e-05,2.5815112166662364e-05,2.4844103252093115e-05
22,2.531851835801697e-05,2.611920806561145e-05,2.5062028520588457e-05
23,2.552232650684675e-05,2.613559144843448e-05,2.53151739152448e-05
24,2.5752305857551495e-05,2.633658151171978e-05,2.5486148278410685e-05
25,2.591688118512034e-05,2.6378960141391225e-05,2.567328181561449e-05
26,2.6120508614817466e-05,2.6564658378493252e-05,2.5898013622355165e-05
27,2.6259997849131262e-05,2.6818279339197596e-05,2.6108297216855516e-05
28,2.638779618692593e-05,2.6818279339197596e-05,2.624465265202215e-05
29,2.653007381090016e-05,2.6928048255062473e-05,2.634768403857301e-05
30,2.667834798388711e-05,2.7095131004958408e-05,2.6516758591429783e-05
31,2.67928003903644e-05,2.7103943623797262e-05,2.6660978991148553e-05
32,2.691683578659859e-05,2.7314941272876262e-05,2.6790976799014093e-05
33,2.7008922465421506e-05,2.7314941272876262e-05,2.6912105064858173e-05
34,2.710224101768882e-05,2.745141100252553e-05,2.6983270372369132e-05
35,2.7206277543734465e-05,2.7685492801771873e-05,2.708999295660183e-05
36,2.732217820790138e-05,2.7685492801771873e-05,2.7184993883376375e-05
37,2.7426603390076823e-05,2.7685492801771873e-05,2.729779160865886e-05
38,2.75176523342015e-05,2.771772271190199e-05,2.7412280701754386e-05
39,2.7595125428354842e-05,2.7751567963589943e-05,2.7506532801540365e-05
40,2.7672599222937182e-05,2.790801518196026e-05,2.7602197134891938e-05
41,2.7727691300533687e-05,2.8029262550102307e-05,2.7666343892654586e-05
42,2.778368482898108e-05,2.8093044162265425e-05,2.7687792452307778e-05
43,2.7864810076110107e-05,2.8093044162265425e-05,2.7751567963589943e-05
44,2.7961389512052412e-05,2.8138893578704487e-05,2.787145684104908e-05
45,2.8031248626887687e-05,2.8215908129003132e-05,2.793530184093639e-05
46,2.8075053171630898e-05,2.8323797654789553e-05,2.8029262550102307e-05
47,2.8124493749486786e-05,2.8323797654789553e-05,2.8045770697778776e-05
48,2.817677046939245e-05,2.842443364315966e-05,2.8130977832789467e-05
49,2.82327032072053e-05,2.842443364315966e-05,2.8159495381842758e-05
50,2.828726054780344e-05,2.8503021320259948e-05,2.822626171389861e-05
51,2.8343259697346455e-05,2.8546144843138935e-05,2.8281342798156058e-05
52,2.839527937429082e-05,2.8546144843138935e-05,2.8323797654789553e-05
53,2.8467171309579322e-05,2.8742239595309267e-05,2.835833593284746e-05
54,2.8523555347383996e-05,2.8742239595309267e-05,2.8473804100227792e-05
55,2.8551981426767896e-05,2.8742239595309267e-05,2.8503021320259948e-05
56,2.858011955873148e-05,2.8742239595309267e-05,2.8546144843138935e-05
57,2.8607723979199666e-05,2.8742239595309267e-05,2.8546144843138935e-05
58,2.867230576917933e-05,2.8742239595309267e-05,2.854777470096206e-05
59,2.8725963439977215e-05,2.8742239595309267e-05,2.866479390013186e-05
60,2.874121526993423e-05,2.8742239595309267e-05,2.8740587457607634e-05
61,2.8741699896993414e-05,2.8742239595309267e-05,2.8740587457607634e-05
62,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
63,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
64,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
65,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
66,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
67,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
68,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
69,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
70,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
71,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
72,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
73,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
74,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
75,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
76,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
77,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
78,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
79,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
80,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
81,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
82,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
83,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
84,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
85,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
86,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
87,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
88,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
89,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
90,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
91,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
92,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
93,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
94,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
95,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
96,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
97,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
98,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
99,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
100,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
101,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
102,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
103,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
104,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
105,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
106,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
107,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
108,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
109,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
110,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
111,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
112,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
113,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
114,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
115,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
116,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
117,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
118,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
119,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
120,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
121,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
122,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
123,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
124,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
125,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
126,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
127,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
128,2.874223959530926e-05,2.8742239595309267e-05,2.8742239595309267e-05
