Iteration,Avg,Max,Min
1,2.133238430040235e-05,2.4348672997321647e-05,1.9025151249952438e-05
2,2.1934123205161555e-05,2.4348672997321647e-05,1.913143294432753e-05
3,2.2475977514254258e-05,2.5817111581556254e-05,1.9955698349663746e-05
4,2.3180321092034886e-05,2.6849962410052626e-05,2.025972973520533e-05
5,2.3915658698835406e-05,2.7170959678295838e-05,2.1219258599104547e-05
6,2.4523364504606995e-05,2.725092653150207e-05,2.112958776174277e-05
7,2.50860654355983e-05,2.909683426443203e-05,2.2334889330623368e-05
8,2.5773778817074503e-05,2.9612958630696793e-05,2.23463687150838e-05
9,2.638614681506218e-05,2.9907883718148105e-05,2.2597848684805206e-05
10,2.6984150701139387e-05,3.131458633431452e-05,2.3627256402986485e-05
11,2.7773858042037917e-05,3.131458633431452e-05,2.3064858381769535e-05
12,2.8211430352430322e-05,3.201024327784891e-05,2.3605504803720226e-05
13,2.8852918823866683e-05,3.254466755622091e-05,2.5030662561638006e-05
14,2.9781952078091704e-05,3.3922453271820615e-05,2.4886765218256932e-05
15,3.061447698425592e-05,3.3922453271820615e-05,2.6962172072582166e-05
16,3.1231437423537854e-05,3.4594893793676056e-05,2.724647158193014e-05
17,3.195587517134888e-05,3.586543289577505e-05,2.8386510730101056e-05
18,3.262040830749965e-05,3.6259472787265676e-05,2.8422817838160475e-05
19,3.332772694815553e-05,3.7239786988418424e-05,2.792828017650673e-05
20,3.416451688094071e-05,3.7239786988418424e-05,3.0635377734207466e-05
21,3.490326200918476e-05,3.831270832535152e-05,3.1141006477329346e-05
22,3.522858443294537e-05,3.837298541826554e-05,3.230391523452642e-05
23,3.606035845202916e-05,3.8945359660396464e-05,3.2344664747549894e-05
24,3.6377229256270225e-05,3.923414940364093e-05,3.2964135021097044e-05
25,3.709338436545197e-05,4.032095480020967e-05,3.316309610665252e-05
