Iteration,Avg,Max,Min
1,2.1540654609309003e-05,2.3698367182501126e-05,2.0687657743390295e-05
2,2.2154712035576396e-05,2.4092902231002747e-05,2.1502601814819592e-05
3,2.2651988104926142e-05,2.4547708471414192e-05,2.2045855379188714e-05
4,2.308489240219784e-05,2.4627508927471986e-05,2.2545880867565496e-05
5,2.3528886442162812e-05,2.4868198547697204e-05,2.296000367360059e-05
6,2.4079163855220314e-05,2.5480303725220406e-05,2.3516685088069987e-05
7,2.4612865910692634e-05,2.6298487836949376e-05,2.4016523368077238e-05
8,2.4968844365571686e-05,2.6987639661035245e-05,2.456519603026432e-05
9,2.5349614844319037e-05,2.7365022028842732e-05,2.488924286923192e-05
10,2.5815095054809024e-05,2.7666343892654586e-05,2.52799757312233e-05
11,2.621432735220947e-05,2.7666343892654586e-05,2.5743338911056765e-05
12,2.6701802777603755e-05,2.8583678719451193e-05,2.610420799832933e-05
13,2.7221103579604118e-05,2.8583678719451193e-05,2.6611315131193784e-05
14,2.7689164827712543e-05,2.9173230643561467e-05,2.719534415708031e-05
15,2.8008188767768076e-05,2.9173230643561467e-05,2.7576317458566584e-05
16,2.8305059190815326e-05,2.9238911142949037e-05,2.7901785714285713e-05
17,2.861188563832515e-05,2.9792939073439594e-05,2.8256569652444192e-05
18,2.887303531299667e-05,2.9933846199898224e-05,2.8577144000228616e-05
19,2.9109943051085246e-05,2.9936534546760865e-05,2.8803502505904717e-05
20,2.9368136658708398e-05,3.0464584920030466e-05,2.9022521476665893e-05
21,2.965638656551362e-05,3.0758820091661287e-05,2.9346167390538794e-05
22,3.0016639855279792e-05,3.117401334247771e-05,2.9584923522972692e-05
23,3.04371008601114e-05,3.129890453834116e-05,2.9986805805445604e-05
24,3.080292470659585e-05,3.219160442956477e-05,3.0349934747640294e-05
25,3.111998252810368e-05,3.219160442956477e-05,3.0795762503079576e-05
26,3.1388843500738825e-05,3.219160442956477e-05,3.106072371486256e-05
27,3.1659563151461414e-05,3.24833522819555e-05,3.130772361541592e-05
28,3.2028167315221505e-05,3.301419610432486e-05,3.164657109402196e-05
29,3.2401921365202e-05,3.339344152808389e-05,3.201126796632415e-05
30,3.270432727169237e-05,3.344257909169955e-05,3.234152652005175e-05
31,3.298534440391973e-05,3.386157388595422e-05,3.267119707266074e-05
32,3.322174409501969e-05,3.386157388595422e-05,3.291747588794891e-05
33,3.3498098114270855e-05,3.417167851284855e-05,3.325352487363661e-05
34,3.3654803767414096e-05,3.417167851284855e-05,3.344257909169955e-05
35,3.380763354650565e-05,3.417167851284855e-05,3.3739329936907456e-05
36,3.3867639465367004e-05,3.417284625636469e-05,3.374957813027337e-05
37,3.3986262739325084e-05,3.456380478363058e-05,3.380662609871535e-05
38,3.4135444040069096e-05,3.456380478363058e-05,3.386157388595422e-05
39,3.422189934485976e-05,3.457814661134163e-05,3.417167851284855e-05
40,3.428066648701221e-05,3.457814661134163e-05,3.417167851284855e-05
41,3.4385854966801624e-05,3.475480485177076e-05,3.417167851284855e-05
42,3.4479349153065245e-05,3.475480485177076e-05,3.4428148454176133e-05
43,3.45527928949804e-05,3.5254715318173806e-05,3.4428148454176133e-05
44,3.4664003801620204e-05,3.5254715318173806e-05,3.456380478363058e-05
45,3.4762663581380495e-05,3.5254715318173806e-05,3.457814661134163e-05
46,3.487614861431618e-05,3.5527764948307104e-05,3.4742730083729977e-05
47,3.5041042421213744e-05,3.5527764948307104e-05,3.475480485177076e-05
48,3.5191974851407635e-05,3.5527764948307104e-05,3.490766921492652e-05
49,3.530123688971314e-05,3.5527764948307104e-05,3.5254715318173806e-05
50,3.5350819160827866e-05,3.5527764948307104e-05,3.5254715318173806e-05
51,3.542308808525142e-05,3.5527764948307104e-05,3.538445207175967e-05
52,3.5456267590224414e-05,3.5527764948307104e-05,3.5396977098155815e-05
53,3.5505966973281875e-05,3.5527764948307104e-05,3.5396977098155815e-05
54,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
55,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
56,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
57,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
58,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
59,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
60,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
61,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
62,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
63,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
64,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
65,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
66,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
67,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
68,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
69,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
70,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
71,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
72,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
73,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
74,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
75,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
76,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
77,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
78,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
79,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
80,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
81,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
82,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
83,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
84,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
85,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
86,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
87,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
88,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
89,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
90,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
91,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
92,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
93,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
94,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
95,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
96,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
97,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
98,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
99,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
100,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
101,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
102,3.552776494830713e-05,3.5527764948307104e-05,3.5527764948307104e-05
