Iteration,Avg,Max,Min
1,2.131958892471985e-05,2.375014843842774e-05,2.0526715520249604e-05
2,2.181431933152175e-05,2.375014843842774e-05,2.120575948427593e-05
3,2.2272769544760376e-05,2.4257713953037066e-05,2.172590597027896e-05
4,2.2792874885727878e-05,2.509410288582183e-05,2.2206924118940287e-05
5,2.3292750703814385e-05,2.6242586469322416e-05,2.270869288763739e-05
6,2.3866903603769047e-05,2.6242586469322416e-05,2.3226645607841314e-05
7,2.43461506409767e-05,2.684635829149776e-05,2.3716914903709326e-05
8,2.4914787605316343e-05,2.7781636338380332e-05,2.42101440503571e-05
9,2.5507144664803088e-05,2.7781636338380332e-05,2.4816974810770568e-05
10,2.614698001190118e-05,2.8318985047575896e-05,2.53613999492772e-05
11,2.6834541504211572e-05,2.9134982373335666e-05,2.5943029108078658e-05
12,2.7482209318700948e-05,2.9134982373335666e-05,2.676802826703785e-05
13,2.793614139454334e-05,2.932981375568265e-05,2.7412280701754386e-05
14,2.8432241352906202e-05,3.0071570337403018e-05,2.7816411682892907e-05
15,2.882464568298793e-05,3.0403453832355356e-05,2.835833593284746e-05
16,2.9187065458582267e-05,3.0403453832355356e-05,2.8794379337153387e-05
17,2.9508578639547538e-05,3.0570756014796244e-05,2.906047484815902e-05
18,2.9882118027632267e-05,3.168969451134491e-05,2.9491565412292086e-05
19,3.0328438089760976e-05,3.168969451134491e-05,2.9801817910892563e-05
20,3.0672339692324806e-05,3.168969451134491e-05,3.030578537442798e-05
21,3.1024825507177955e-05,3.202767190852897e-05,3.0627871362940275e-05
22,3.135348181555388e-05,3.223830555466005e-05,3.0930067118245644e-05
23,3.1753487320014866e-05,3.321045465112417e-05,3.141887646097776e-05
24,3.2070497426823245e-05,3.372681281618887e-05,3.168969451134491e-05
25,3.242895601625905e-05,3.41495065396305e-05,3.199283360527242e-05
26,3.286871290258361e-05,3.41495065396305e-05,3.2316442605997934e-05
27,3.330002129269277e-05,3.4772932749148066e-05,3.290123050602092e-05
28,3.375261882428818e-05,3.515803536898358e-05,3.32667997338656e-05
29,3.4122305479181924e-05,3.515803536898358e-05,3.361909564632711e-05
30,3.44952157389879e-05,3.534942910671993e-05,3.4088972217487644e-05
31,3.490196315127712e-05,3.5510102624196586e-05,3.4410378170056086e-05
