Iteration,Avg,Max,Min
1,2.11283067391755e-05,2.211166390270868e-05,2.0722811671087532e-05
2,2.140949109497366e-05,2.2350364310938267e-05,2.1073927337098542e-05
3,2.1692793336452147e-05,2.244568145088885e-05,2.1355657113569383e-05
4,2.1970870125407176e-05,2.3180880409837964e-05,2.1670350626273134e-05
5,2.2230500396893127e-05,2.326934264107039e-05,2.193607826792726e-05
6,2.2473643803400178e-05,2.330947996550197e-05,2.2151337940811624e-05
7,2.280179811907777e-05,2.3724229555645182e-05,2.244568145088885e-05
8,2.3052171613244112e-05,2.3731548720869524e-05,2.279046446966589e-05
9,2.3285381698608845e-05,2.4235961319405733e-05,2.3030861354214647e-05
10,2.3494327232940434e-05,2.4235961319405733e-05,2.3245542667193566e-05
11,2.3668328409324638e-05,2.4486997404378275e-05,2.344061320644148e-05
12,2.3875807043200603e-05,2.4769642326364806e-05,2.3626139961253132e-05
13,2.408507304247872e-05,2.5091584282631606e-05,2.3819164900078605e-05
14,2.4322622075321697e-05,2.5091584282631606e-05,2.4056966897613547e-05
15,2.4546311281036793e-05,2.571421224510787e-05,2.42883513067133e-05
16,2.4761969393671264e-05,2.607493937576595e-05,2.447800651114973e-05
17,2.499888540659497e-05,2.607493937576595e-05,2.4700506360380388e-05
18,2.523954155792803e-05,2.607493937576595e-05,2.4961309969547202e-05
19,2.546121434478159e-05,2.612330198537095e-05,2.5197167838334972e-05
20,2.566213716841571e-05,2.6346989856408904e-05,2.543299677000941e-05
21,2.584234930735394e-05,2.654139129973193e-05,2.5636424231548182e-05
22,2.6034098756142595e-05,2.6688729349595664e-05,2.5812446761828554e-05
23,2.621404821623853e-05,2.6949093163015065e-05,2.5996308524189564e-05
24,2.6406667263507473e-05,2.716800695500978e-05,2.6169789594891657e-05
25,2.658451190963556e-05,2.7248698874628735e-05,2.6385920472835694e-05
26,2.6758115709253346e-05,2.7248698874628735e-05,2.6569599064750113e-05
27,2.6915822223826482e-05,2.7317179774360095e-05,2.6763729793384007e-05
28,2.7035223933838366e-05,2.7416038382453736e-05,2.688388848563056e-05
29,2.7154057387196155e-05,2.7681660899653978e-05,2.7013155406683054e-05
30,2.7257038048313293e-05,2.7681660899653978e-05,2.7139988058405254e-05
31,2.735855653672164e-05,2.7877672771877004e-05,2.723237384602816e-05
32,2.7465213171358795e-05,2.791970293436078e-05,2.7335101003198208e-05
33,2.7585255798350947e-05,2.7982986344302665e-05,2.7435594940876292e-05
34,2.7678272956544894e-05,2.8137310073157006e-05,2.7562636090515697e-05
35,2.777108779931197e-05,2.8137310073157006e-05,2.7679362267493358e-05
36,2.7844105837154026e-05,2.8187276263494658e-05,2.7740790057700843e-05
37,2.793287587922042e-05,2.8282942557343666e-05,2.7824925568324105e-05
38,2.8021461190954568e-05,2.8282942557343666e-05,2.790645755427806e-05
39,2.8097447482586297e-05,2.8308563340410474e-05,2.798846875087464e-05
40,2.817409796286456e-05,2.8417971525192532e-05,2.8092254965306065e-05
41,2.8233759027711325e-05,2.8473804100227792e-05,2.8153945775500437e-05
42,2.829799383927482e-05,2.8503021320259948e-05,2.823742022928785e-05
43,2.836399175443834e-05,2.8592668839709498e-05,2.8282942557343666e-05
44,2.843187618133027e-05,2.8689465228368144e-05,2.83559235524301e-05
45,2.848172370948689e-05,2.8799354894450365e-05,2.8417971525192532e-05
46,2.8543610018248437e-05,2.8799354894450365e-05,2.8471372035418388e-05
47,2.860711889295491e-05,2.8861694758716232e-05,2.8531484493138176e-05
48,2.8666596126813253e-05,2.8880032345636228e-05,2.8592668839709498e-05
49,2.871223565013398e-05,2.8882534731248015e-05,2.8654116163786927e-05
50,2.8760265903119357e-05,2.8963679545849506e-05,2.8707584543836483e-05
51,2.880491941206687e-05,2.9049500348594004e-05,2.874802357337933e-05
52,2.8850945932115325e-05,2.9049500348594004e-05,2.8799354894450365e-05
53,2.8884212841523696e-05,2.9144322685940777e-05,2.8845876481956904e-05
54,2.891186385842261e-05,2.9144322685940777e-05,2.8880032345636228e-05
55,2.893659540404365e-05,2.9144322685940777e-05,2.8900063580139876e-05
56,2.898179016529567e-05,2.928772258669166e-05,2.8921795465062472e-05
57,2.9017597258782216e-05,2.9333255111319702e-05,2.8962840675413443e-05
58,2.907438079005835e-05,2.9333255111319702e-05,2.898382702452032e-05
59,2.9126800391002494e-05,2.9333255111319702e-05,2.907906598040071e-05
60,2.91635010189446e-05,2.9333255111319702e-05,2.9106997322156245e-05
61,2.921970471222338e-05,2.9354781893970526e-05,2.912819317817716e-05
62,2.929182072751991e-05,2.9376340295525985e-05,2.9208166603382307e-05
63,2.9311208177332406e-05,2.9376340295525985e-05,2.928772258669166e-05
64,2.9327826986496053e-05,2.9376340295525985e-05,2.930918256689821e-05
65,2.9343616649952062e-05,2.9397066172795955e-05,2.932981375568265e-05
66,2.9359401912723342e-05,2.9397066172795955e-05,2.9333255111319702e-05
67,2.9373098926061853e-05,2.9397066172795955e-05,2.9354781893970526e-05
68,2.9383017814640994e-05,2.9397066172795955e-05,2.937547735150696e-05
69,2.939082769895864e-05,2.9397066172795955e-05,2.937547735150696e-05
70,2.939706617279599e-05,2.9397066172795955e-05,2.9397066172795955e-05
71,2.939706617279599e-05,2.9397066172795955e-05,2.9397066172795955e-05
72,2.939706617279599e-05,2.9397066172795955e-05,2.9397066172795955e-05
73,2.939706617279599e-05,2.9397066172795955e-05,2.9397066172795955e-05
74,2.939706617279599e-05,2.9397066172795955e-05,2.9397066172795955e-05
75,2.939706617279599e-05,2.9397066172795955e-05,2.9397066172795955e-05
76,2.939706617279599e-05,2.9397066172795955e-05,2.9397066172795955e-05
77,2.939706617279599e-05,2.9397066172795955e-05,2.9397066172795955e-05
78,2.939706617279599e-05,2.9397066172795955e-05,2.9397066172795955e-05
79,2.939706617279599e-05,2.9397066172795955e-05,2.9397066172795955e-05
80,2.939706617279599e-05,2.9397066172795955e-05,2.9397066172795955e-05
81,2.939706617279599e-05,2.9397066172795955e-05,2.9397066172795955e-05
82,2.939706617279599e-05,2.9397066172795955e-05,2.9397066172795955e-05
83,2.939706617279599e-05,2.9397066172795955e-05,2.9397066172795955e-05
84,2.939706617279599e-05,2.9397066172795955e-05,2.9397066172795955e-05
85,2.939706617279599e-05,2.9397066172795955e-05,2.9397066172795955e-05
86,2.939706617279599e-05,2.9397066172795955e-05,2.9397066172795955e-05
87,2.939706617279599e-05,2.9397066172795955e-05,2.9397066172795955e-05
88,2.939706617279599e-05,2.9397066172795955e-05,2.9397066172795955e-05
89,2.939706617279599e-05,2.9397066172795955e-05,2.9397066172795955e-05
90,2.939706617279599e-05,2.9397066172795955e-05,2.9397066172795955e-05
91,2.939706617279599e-05,2.9397066172795955e-05,2.9397066172795955e-05
92,2.939706617279599e-05,2.9397066172795955e-05,2.9397066172795955e-05
93,2.939706617279599e-05,2.9397066172795955e-05,2.9397066172795955e-05
94,2.939706617279599e-05,2.9397066172795955e-05,2.9397066172795955e-05
95,2.939706617279599e-05,2.9397066172795955e-05,2.9397066172795955e-05
96,2.939706617279599e-05,2.9397066172795955e-05,2.9397066172795955e-05
97,2.939706617279599e-05,2.9397066172795955e-05,2.9397066172795955e-05
98,2.939706617279599e-05,2.9397066172795955e-05,2.9397066172795955e-05
99,2.939706617279599e-05,2.9397066172795955e-05,2.9397066172795955e-05
100,2.939706617279599e-05,2.9397066172795955e-05,2.9397066172795955e-05
