,mut_rate,cross_rate,num_of_iterations,pop_size,modularity,dissagregation,systems_used
0,0.001,0.5,100,150,5,False,5794
1,0.001,0.5,100,250,5,False,5528
2,0.001,0.5,800,150,5,False,6174
3,0.001,0.5,800,250,5,False,5216
4,0.001,0.75,100,150,5,False,6189
5,0.001,0.75,100,250,5,False,5265
6,0.001,0.75,800,150,5,False,6008
7,0.001,0.75,800,250,5,False,5812
8,0.5,0.5,100,150,5,False,5666
9,0.5,0.5,100,250,5,False,6064
10,0.5,0.5,800,150,5,False,5765
11,0.5,0.5,800,250,5,False,5527
12,0.5,0.75,100,150,5,False,5616
13,0.5,0.75,100,250,5,False,5465
14,0.5,0.75,800,150,5,False,5721
15,0.5,0.75,800,250,5,False,5502
