,mut_rate,cross_rate,num_of_iterations,pop_size,modularity,dissagregation,systems_used
0,0.001,0.5,100,150,1,False,28353
1,0.001,0.5,100,250,1,False,26820
2,0.001,0.5,800,150,1,False,29908
3,0.001,0.5,800,250,1,False,26636
4,0.001,0.75,100,150,1,False,28459
5,0.001,0.75,100,250,1,False,27208
6,0.001,0.75,800,150,1,False,29107
7,0.001,0.75,800,250,1,False,26588
8,0.5,0.5,100,150,1,False,27683
9,0.5,0.5,100,250,1,False,28192
10,0.5,0.5,800,150,1,False,26836
11,0.5,0.5,800,250,1,False,27357
12,0.5,0.75,100,150,1,False,27693
13,0.5,0.75,100,250,1,False,26306
14,0.5,0.75,800,150,1,False,29045
15,0.5,0.75,800,250,1,False,28395
